ROW_ID,SPLIT,N_CLUSTERS,CLUSTER,CLUSTER_ORACLE,GATE_CONFIDENCE
tut_top5_train_0000000,train,2,0,0,1.0
tut_top5_train_0000001,train,2,0,0,1.0
tut_top5_train_0000002,train,2,1,1,1.0
tut_top5_train_0000003,train,2,1,1,1.0
tut_top5_train_0000004,train,2,0,0,1.0
tut_top5_train_0000005,train,2,1,1,1.0
tut_top5_train_0000006,train,2,0,0,1.0
tut_top5_train_0000007,train,2,0,0,1.0
tut_top5_train_0000008,train,2,0,0,1.0
tut_top5_train_0000009,train,2,1,1,1.0
tut_top5_train_0000010,train,2,1,1,1.0
tut_top5_train_0000011,train,2,0,0,1.0
tut_top5_train_0000012,train,2,1,1,1.0
tut_top5_train_0000013,train,2,0,0,1.0
tut_top5_train_0000014,train,2,1,1,1.0
tut_top5_train_0000015,train,2,0,0,1.0
tut_top5_train_0000016,train,2,0,0,1.0
tut_top5_train_0000017,train,2,1,1,1.0
tut_top5_train_0000018,train,2,1,1,1.0
tut_top5_train_0000019,train,2,1,1,1.0
tut_top5_train_0000020,train,2,0,0,1.0
tut_top5_train_0000021,train,2,0,0,1.0
tut_top5_train_0000022,train,2,0,0,1.0
tut_top5_train_0000023,train,2,0,0,1.0
tut_top5_train_0000024,train,2,0,0,1.0
tut_top5_train_0000025,train,2,1,1,1.0
tut_top5_train_0000026,train,2,1,1,1.0
tut_top5_train_0000027,train,2,1,1,1.0
tut_top5_train_0000028,train,2,0,0,1.0
tut_top5_train_0000029,train,2,0,0,1.0
tut_top5_train_0000030,train,2,0,0,1.0
tut_top5_train_0000031,train,2,1,1,1.0
tut_top5_train_0000032,train,2,1,1,1.0
tut_top5_train_0000033,train,2,0,0,1.0
tut_top5_train_0000034,train,2,0,0,1.0
tut_top5_train_0000035,train,2,1,1,1.0
tut_top5_train_0000036,train,2,1,1,1.0
tut_top5_train_0000037,train,2,0,0,1.0
tut_top5_train_0000038,train,2,0,0,1.0
tut_top5_train_0000039,train,2,0,0,1.0
tut_top5_train_0000040,train,2,1,1,1.0
tut_top5_train_0000041,train,2,1,1,1.0
tut_top5_train_0000042,train,2,0,0,1.0
tut_top5_train_0000043,train,2,0,0,1.0
tut_top5_train_0000044,train,2,0,0,1.0
tut_top5_train_0000045,train,2,0,0,1.0
tut_top5_train_0000046,train,2,0,0,1.0
tut_top5_train_0000047,train,2,1,1,1.0
tut_top5_train_0000048,train,2,1,1,1.0
tut_top5_train_0000049,train,2,0,0,1.0
tut_top5_train_0000050,train,2,1,1,1.0
tut_top5_train_0000051,train,2,0,0,1.0
tut_top5_train_0000052,train,2,0,0,1.0
tut_top5_train_0000053,train,2,1,1,1.0
tut_top5_train_0000054,train,2,1,1,1.0
tut_top5_train_0000055,train,2,0,0,1.0
tut_top5_train_0000056,train,2,0,0,1.0
tut_top5_train_0000057,train,2,0,0,1.0
tut_top5_train_0000058,train,2,0,0,1.0
tut_top5_train_0000059,train,2,1,1,1.0
tut_top5_train_0000060,train,2,0,0,1.0
tut_top5_train_0000061,train,2,1,1,1.0
tut_top5_train_0000062,train,2,0,0,1.0
tut_top5_train_0000063,train,2,0,0,1.0
tut_top5_train_0000064,train,2,1,1,1.0
tut_top5_train_0000065,train,2,0,0,1.0
tut_top5_train_0000066,train,2,1,1,1.0
tut_top5_train_0000067,train,2,0,0,1.0
