ROW_ID,SPLIT,N_CLUSTERS,CLUSTER,CLUSTER_ORACLE,GATE_CONFIDENCE
uji_b1_f01_train_0000000,train,2,1,1,1.0
uji_b1_f01_train_0000001,train,2,1,1,1.0
uji_b1_f01_train_0000002,train,2,1,1,1.0
uji_b1_f01_train_0000003,train,2,1,1,1.0
uji_b1_f01_train_0000004,train,2,1,1,1.0
uji_b1_f01_train_0000005,train,2,1,1,1.0
uji_b1_f01_train_0000006,train,2,1,1,1.0
uji_b1_f01_train_0000007,train,2,1,1,1.0
uji_b1_f01_train_0000008,train,2,1,1,1.0
uji_b1_f01_train_0000009,train,2,1,1,1.0
uji_b1_f01_train_0000010,train,2,1,1,1.0
uji_b1_f01_train_0000011,train,2,1,1,1.0
uji_b1_f01_train_0000012,train,2,1,1,1.0
uji_b1_f01_train_0000013,train,2,1,1,1.0
uji_b1_f01_train_0000014,train,2,1,1,1.0
uji_b1_f01_train_0000015,train,2,1,1,1.0
uji_b1_f01_train_0000016,train,2,1,1,1.0
uji_b1_f01_train_0000017,train,2,1,1,1.0
uji_b1_f01_train_0000018,train,2,1,1,1.0
uji_b1_f01_train_0000019,train,2,1,1,1.0
uji_b1_f01_train_0000020,train,2,1,1,1.0
uji_b1_f01_train_0000021,train,2,1,1,1.0
uji_b1_f01_train_0000022,train,2,1,1,1.0
uji_b1_f01_train_0000023,train,2,1,1,1.0
uji_b1_f01_train_0000024,train,2,1,1,1.0
uji_b1_f01_train_0000025,train,2,1,1,1.0
uji_b1_f01_train_0000026,train,2,1,1,1.0
uji_b1_f01_train_0000027,train,2,1,1,1.0
uji_b1_f01_train_0000028,train,2,1,1,1.0
uji_b1_f01_train_0000029,train,2,1,1,1.0
uji_b1_f01_train_0000030,train,2,1,1,1.0
uji_b1_f01_train_0000031,train,2,1,1,1.0
uji_b1_f01_train_0000032,train,2,1,1,1.0
uji_b1_f01_train_0000033,train,2,1,1,1.0
uji_b1_f01_train_0000034,train,2,1,1,1.0
uji_b1_f01_train_0000035,train,2,1,1,1.0
uji_b1_f01_train_0000036,train,2,1,1,1.0
uji_b1_f01_train_0000037,train,2,1,1,1.0
uji_b1_f01_train_0000038,train,2,1,1,1.0
uji_b1_f01_train_0000039,train,2,1,1,1.0
uji_b1_f01_train_0000040,train,2,1,1,1.0
uji_b1_f01_train_0000041,train,2,1,1,1.0
uji_b1_f01_train_0000042,train,2,1,1,1.0
uji_b1_f01_train_0000043,train,2,1,1,1.0
uji_b1_f01_train_0000044,train,2,1,1,1.0
uji_b1_f01_train_0000045,train,2,1,1,1.0
uji_b1_f01_train_0000046,train,2,1,1,1.0
uji_b1_f01_train_0000047,train,2,1,1,1.0
uji_b1_f01_train_0000048,train,2,1,1,1.0
uji_b1_f01_train_0000049,train,2,1,1,1.0
uji_b1_f01_train_0000050,train,2,1,1,1.0
uji_b1_f01_train_0000051,train,2,1,1,1.0
uji_b1_f01_train_0000052,train,2,1,1,1.0
uji_b1_f01_train_0000053,train,2,1,1,1.0
uji_b1_f01_train_0000054,train,2,1,1,1.0
uji_b1_f01_train_0000055,train,2,1,1,1.0
uji_b1_f01_train_0000056,train,2,1,1,1.0
uji_b1_f01_train_0000057,train,2,1,1,1.0
uji_b1_f01_train_0000058,train,2,1,1,1.0
uji_b1_f01_train_0000059,train,2,1,1,1.0
uji_b1_f01_train_0000060,train,2,1,1,1.0
uji_b1_f01_train_0000061,train,2,1,1,1.0
uji_b1_f01_train_0000062,train,2,1,1,1.0
uji_b1_f01_train_0000063,train,2,1,1,1.0
uji_b1_f01_train_0000064,train,2,1,1,1.0
uji_b1_f01_train_0000065,train,2,1,1,1.0
uji_b1_f01_train_0000066,train,2,1,1,1.0
uji_b1_f01_train_0000067,train,2,1,1,1.0
uji_b1_f01_train_0000068,train,2,1,1,1.0
uji_b1_f01_train_0000069,train,2,1,1,1.0
uji_b1_f01_train_0000070,train,2,1,1,1.0
uji_b1_f01_train_0000071,train,2,1,1,1.0
uji_b1_f01_train_0000072,train,2,1,1,1.0
uji_b1_f01_train_0000073,train,2,1,1,1.0
uji_b1_f01_train_0000074,train,2,1,1,1.0
uji_b1_f01_train_0000075,train,2,1,1,1.0
uji_b1_f01_train_0000076,train,2,1,1,1.0
uji_b1_f01_train_0000077,train,2,1,1,1.0
uji_b1_f01_train_0000078,train,2,1,1,1.0
uji_b1_f01_train_0000079,train,2,1,1,1.0
uji_b1_f01_train_0000080,train,2,1,1,1.0
uji_b1_f01_train_0000081,train,2,1,1,1.0
uji_b1_f01_train_0000082,train,2,1,1,1.0
uji_b1_f01_train_0000083,train,2,1,1,1.0
uji_b1_f01_train_0000084,train,2,1,1,1.0
uji_b1_f01_train_0000085,train,2,1,1,1.0
uji_b1_f01_train_0000086,train,2,1,1,1.0
uji_b1_f01_train_0000087,train,2,1,1,1.0
uji_b1_f01_train_0000088,train,2,1,1,1.0
uji_b1_f01_train_0000089,train,2,1,1,1.0
uji_b1_f01_train_0000090,train,2,1,1,1.0
uji_b1_f01_train_0000091,train,2,1,1,1.0
uji_b1_f01_train_0000092,train,2,1,1,1.0
uji_b1_f01_train_0000093,train,2,1,1,1.0
uji_b1_f01_train_0000094,train,2,1,1,1.0
uji_b1_f01_train_0000095,train,2,1,1,1.0
uji_b1_f01_train_0000096,train,2,1,1,1.0
uji_b1_f01_train_0000097,train,2,1,1,1.0
uji_b1_f01_train_0000098,train,2,1,1,1.0
uji_b1_f01_train_0000099,train,2,1,1,1.0
uji_b1_f01_train_0000100,train,2,1,1,1.0
uji_b1_f01_train_0000101,train,2,1,1,1.0
uji_b1_f01_train_0000102,train,2,1,1,1.0
uji_b1_f01_train_0000103,train,2,1,1,1.0
uji_b1_f01_train_0000104,train,2,1,1,1.0
uji_b1_f01_train_0000105,train,2,1,1,1.0
uji_b1_f01_train_0000106,train,2,1,1,1.0
uji_b1_f01_train_0000107,train,2,1,1,1.0
uji_b1_f01_train_0000108,train,2,1,1,1.0
uji_b1_f01_train_0000109,train,2,1,1,1.0
uji_b1_f01_train_0000110,train,2,1,1,1.0
uji_b1_f01_train_0000111,train,2,1,1,1.0
uji_b1_f01_train_0000112,train,2,1,1,1.0
uji_b1_f01_train_0000113,train,2,1,1,1.0
uji_b1_f01_train_0000114,train,2,1,1,1.0
uji_b1_f01_train_0000115,train,2,1,1,1.0
uji_b1_f01_train_0000116,train,2,1,1,1.0
uji_b1_f01_train_0000117,train,2,1,1,1.0
uji_b1_f01_train_0000118,train,2,1,1,1.0
uji_b1_f01_train_0000119,train,2,1,1,1.0
uji_b1_f01_train_0000120,train,2,1,1,1.0
uji_b1_f01_train_0000121,train,2,1,1,1.0
uji_b1_f01_train_0000122,train,2,1,1,1.0
uji_b1_f01_train_0000123,train,2,1,1,1.0
uji_b1_f01_train_0000124,train,2,1,1,1.0
uji_b1_f01_train_0000125,train,2,1,1,1.0
uji_b1_f01_train_0000126,train,2,1,1,1.0
uji_b1_f01_train_0000127,train,2,1,1,1.0
uji_b1_f01_train_0000128,train,2,1,1,1.0
uji_b1_f01_train_0000129,train,2,1,1,1.0
uji_b1_f01_train_0000130,train,2,1,1,1.0
uji_b1_f01_train_0000131,train,2,1,1,1.0
uji_b1_f01_train_0000132,train,2,1,1,1.0
uji_b1_f01_train_0000133,train,2,1,1,1.0
uji_b1_f01_train_0000134,train,2,1,1,1.0
uji_b1_f01_train_0000135,train,2,1,1,1.0
uji_b1_f01_train_0000136,train,2,1,1,1.0
uji_b1_f01_train_0000137,train,2,1,1,1.0
uji_b1_f01_train_0000138,train,2,1,1,1.0
uji_b1_f01_train_0000139,train,2,1,1,1.0
uji_b1_f01_train_0000140,train,2,1,1,1.0
uji_b1_f01_train_0000141,train,2,1,1,1.0
