model,modality,split,n_clusters,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n,coverage,gate_accuracy_diagnostic,n_neighbors,distance,weights
KNN,centralized_by_predicted_cluster,val,2,2.695958129596856,2.1793203638586878,1.6966746889135997,2.5412579563295434,5.999999999999773,1710,1.0,0.9842105263157894,9,manhattan,distance
KNN,federated_by_predicted_cluster,val,2,2.6959581295968507,2.17932036385868,1.6966746889134792,2.5412579563295434,5.999999999999659,1710,1.0,0.9842105263157894,9,manhattan,distance
KNN,centralized_by_predicted_cluster,val,3,2.7602196226159497,2.2399813474859007,1.6979698857694747,2.6829150191536275,5.999999999999886,1710,1.0,0.9842105263157894,9,manhattan,distance
KNN,federated_by_predicted_cluster,val,3,2.760219622615946,2.239981347485895,1.6979698857693317,2.6829150191536226,5.999999999999886,1710,1.0,0.9842105263157894,9,manhattan,distance
KNN,centralized_by_predicted_cluster,val,4,2.68753742032754,2.159080726813254,1.6262645559763635,2.4631683171138974,5.999999999999835,1710,1.0,0.9713450292397661,9,manhattan,distance
KNN,federated_by_predicted_cluster,val,4,2.6875374203275357,2.1590807268132464,1.6262645559763502,2.463168317113814,5.999999999999659,1710,1.0,0.9713450292397661,9,manhattan,distance
KNN,centralized_by_predicted_cluster,val,5,2.851654711312487,2.242898789092272,1.6151408384269763,2.4616821419347246,6.471370658642549,1710,1.0,0.9555555555555556,9,manhattan,distance
KNN,federated_by_predicted_cluster,val,5,2.85165471131248,2.2428987890922625,1.6151408384268868,2.4616821419347246,6.47137065864251,1710,1.0,0.9555555555555556,9,manhattan,distance
KNN,centralized_by_predicted_cluster,val,6,2.8431456618999964,2.2875027843229034,1.702013219690088,2.6829150191536275,6.000000000000227,1710,1.0,0.939766081871345,9,manhattan,distance
KNN,federated_by_predicted_cluster,val,6,2.843145661899992,2.2875027843228968,1.7020132196900875,2.6829150191536275,6.000000000000227,1710,1.0,0.939766081871345,9,manhattan,distance
KNN,centralized_by_predicted_cluster,val,7,2.7544737212737913,2.2399758510355747,1.6970562748476177,2.6829150191536275,5.999999999999886,1710,1.0,0.9491228070175438,9,manhattan,distance
KNN,federated_by_predicted_cluster,val,7,2.754473721273787,2.2399758510355667,1.6970562748476177,2.6829150191536275,5.999999999999886,1710,1.0,0.9491228070175438,9,manhattan,distance
KNN,centralized_by_predicted_cluster,val,8,2.691469928167931,2.262427878195653,1.702013219690249,2.6833445548419173,5.443921407745173,1710,1.0,0.9333333333333333,9,manhattan,distance
KNN,federated_by_predicted_cluster,val,8,2.691469928167927,2.2624278781956475,1.702013219690249,2.6833445548418684,5.443921407745182,1710,1.0,0.9333333333333333,9,manhattan,distance
KNN,centralized_by_predicted_cluster,val,9,2.5675157037629877,2.1422413940322427,1.697667222985412,2.541385703105197,5.311596459963238,1710,1.0,0.952046783625731,9,manhattan,distance
KNN,federated_by_predicted_cluster,val,9,2.567515703762982,2.1422413940322347,1.697667222985398,2.5413857031052274,5.311596459963295,1710,1.0,0.952046783625731,9,manhattan,distance
KNN,centralized_by_predicted_cluster,val,10,2.4540215617256247,2.0312527421203286,1.6142701119717857,2.4616821419347246,4.507189493086421,1710,1.0,0.9432748538011696,9,manhattan,distance
KNN,federated_by_predicted_cluster,val,10,2.4540215617256176,2.031252742120321,1.6142701119717286,2.4616821419347246,4.507189493086575,1710,1.0,0.9432748538011696,9,manhattan,distance
