kind,n_neighbors,distance,weights,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n
central,3,manhattan,uniform,2.7699263144458173,2.272526097743913,1.6976672229856513,2.6829150191535787,6.0,1710
distributed,3,manhattan,uniform,2.7699263144458173,2.272526097743913,1.6976672229856513,2.6829150191535787,6.0,1710
central,3,manhattan,distance,2.768062496148767,2.270988969296968,1.6976672229856375,2.6770224130554205,6.0,1710
distributed,3,manhattan,distance,2.768062496148767,2.270988969296968,1.6976672229856375,2.6770224130554205,6.0,1710
central,3,euclidean,uniform,3.9763976252311823,2.8341341738895633,1.697056274847698,3.599892359501805,9.097422104404961,1710
distributed,3,euclidean,uniform,3.9763976252311823,2.8341341738895633,1.697056274847698,3.599892359501805,9.097422104404961,1710
central,3,euclidean,distance,3.9652221396021066,2.8283455207894255,1.697056274847698,3.4858102914380424,9.097422104404885,1710
distributed,3,euclidean,distance,3.9652221396021066,2.8283455207894255,1.697056274847698,3.4858102914380424,9.097422104404885,1710
central,5,manhattan,uniform,2.7104696939635193,2.208877887463922,1.6976672229856513,2.682552008815498,5.999999999999886,1710
distributed,5,manhattan,uniform,2.7104696939635193,2.208877887463922,1.6976672229856513,2.682552008815498,5.999999999999886,1710
central,5,manhattan,distance,2.708104543801442,2.2073348336587078,1.6976672229856444,2.6770224130554205,6.000000000000114,1710
distributed,5,manhattan,distance,2.708104543801442,2.2073348336587078,1.6976672229856444,2.6770224130554205,6.000000000000114,1710
central,5,euclidean,uniform,4.516030871135917,2.959015992475303,1.697056274847698,3.1197737482068777,9.594389504523798,1710
distributed,5,euclidean,uniform,4.516030871135917,2.959015992475303,1.697056274847698,3.1197737482068777,9.594389504523798,1710
central,5,euclidean,distance,4.324050780937308,2.909420799356192,1.697056274847537,3.0929485928336224,9.418480319724187,1710
distributed,5,euclidean,distance,4.324050780937308,2.909420799356192,1.697056274847537,3.0929485928336224,9.418480319724187,1710
central,7,manhattan,uniform,2.6897001128719515,2.182283815728307,1.697056274847698,2.5711652642969702,6.0,1710
distributed,7,manhattan,uniform,2.6897001128719515,2.182283815728307,1.697056274847698,2.5711652642969702,6.0,1710
central,7,manhattan,distance,2.686324341950952,2.1782342052795873,1.697056274847698,2.5134913578262865,6.0,1710
distributed,7,manhattan,distance,2.686324341950952,2.1782342052795873,1.697056274847698,2.5134913578262865,6.0,1710
central,7,euclidean,uniform,5.278902672576056,3.0851519390817645,1.7020132196900883,2.929372712680301,9.668507640789194,1710
distributed,7,euclidean,uniform,5.278902672576056,3.0851519390817645,1.7020132196900883,2.929372712680301,9.668507640789194,1710
central,7,euclidean,distance,4.878716939433742,3.0075704004588464,1.7020132196900888,2.9298889720035026,9.66850764078932,1710
distributed,7,euclidean,distance,4.878716939433742,3.0075704004588464,1.7020132196900888,2.9298889720035026,9.66850764078932,1710
central,9,manhattan,uniform,2.6868230812216733,2.16210394511358,1.6489560670652246,2.5293648961303754,5.999999999999886,1710
distributed,9,manhattan,uniform,2.6868230812216733,2.16210394511358,1.6489560670652246,2.5293648961303754,5.999999999999886,1710
central,9,manhattan,distance,2.6823729527242137,2.1573265481419286,1.6491370040270146,2.50411844559824,5.999999999999773,1710
distributed,9,manhattan,distance,2.682372952724209,2.1573265481419206,1.6491370040268858,2.504118445598213,5.999999999999659,1710
central,9,euclidean,uniform,5.809300778691385,3.1724194258047795,1.7020132196900077,2.7999999999999545,9.668507640789194,1710
distributed,9,euclidean,uniform,5.809300778691385,3.1724194258047795,1.7020132196900077,2.7999999999999545,9.668507640789194,1710
central,9,euclidean,distance,5.340214459664291,3.087272387240319,1.7020132196901283,2.818081031793895,9.668507640789208,1710
distributed,9,euclidean,distance,5.340214459664283,3.087272387240316,1.7020132196900077,2.818081031793895,9.668507640789223,1710
