model,modality,split,n_clusters,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n,coverage,gate_accuracy_diagnostic,selected_candidate_id,selected_from_n_candidates,selection_metric,hidden_sizes,dropout,learning_rate,weight_decay,batch_size,central_epochs,patience,federated_rounds,local_epochs,client_weighting,force_cpu,seed
MLP,centralized_by_predicted_cluster,val,2,3.0712414694117456,2.4592204144966003,1.9869426330073852,3.240002979717687,6.133564484544381,1710,1.0,0.9842105263157894,central_04,8,val_rmse_2d_m,"(256, 128)",0.0,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,2,11.624322935299459,10.852384496600529,10.571531257814723,13.236891665859412,17.399937269543845,1710,1.0,0.9842105263157894,federated_07,8,val_rmse_2d_m,"(256, 128)",0.1,0.0005,1e-05,128,100,15,40,2,samples,False,42
MLP,centralized_by_predicted_cluster,val,3,3.839932909724866,2.7869916592166364,2.016419947248802,3.6569950711076076,6.4627115350616755,1710,1.0,0.9842105263157894,central_04,8,val_rmse_2d_m,"(256, 128)",0.0,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,3,7.131347226624288,5.671407859728424,4.7424100230935196,7.183061560596335,14.173628943292803,1710,1.0,0.9842105263157894,federated_07,8,val_rmse_2d_m,"(256, 128)",0.1,0.0005,1e-05,128,100,15,40,2,samples,False,42
MLP,centralized_by_predicted_cluster,val,4,3.0280593798636697,2.381169100024743,1.7401576474404807,3.2129035960996264,6.007967472597958,1710,1.0,0.9713450292397661,central_04,8,val_rmse_2d_m,"(256, 128)",0.0,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,4,4.914617864410002,3.874856432846351,3.0681652754060034,5.285449520932763,10.251237905589365,1710,1.0,0.9713450292397661,federated_07,8,val_rmse_2d_m,"(256, 128)",0.1,0.0005,1e-05,128,100,15,40,2,samples,False,42
MLP,centralized_by_predicted_cluster,val,5,3.5435298679885063,2.7508726745882766,2.0619529623011035,3.3832674049852223,7.656992121506945,1710,1.0,0.9555555555555556,central_04,8,val_rmse_2d_m,"(256, 128)",0.0,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,5,4.4475480366781515,3.5282611254372713,2.7176385107021686,4.404936400213119,8.940143733186748,1710,1.0,0.9555555555555556,federated_07,8,val_rmse_2d_m,"(256, 128)",0.1,0.0005,1e-05,128,100,15,40,2,samples,False,42
MLP,centralized_by_predicted_cluster,val,6,3.1221704643903365,2.5236824636023467,2.19473207389675,3.5146946607253873,5.65338831263673,1710,1.0,0.939766081871345,central_04,8,val_rmse_2d_m,"(256, 128)",0.0,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,6,4.127577559075535,3.271545048452522,2.46709418367673,3.9991660526579915,8.939000464929245,1710,1.0,0.939766081871345,federated_07,8,val_rmse_2d_m,"(256, 128)",0.1,0.0005,1e-05,128,100,15,40,2,samples,False,42
MLP,centralized_by_predicted_cluster,val,7,3.27914573961819,2.651754421279169,2.2578232765859876,3.29787249738974,7.078931805905765,1710,1.0,0.9491228070175438,central_04,8,val_rmse_2d_m,"(256, 128)",0.0,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,7,4.4843074218692065,3.3750963795127484,2.367185853773058,4.714227313210421,9.049274796372728,1710,1.0,0.9491228070175438,federated_07,8,val_rmse_2d_m,"(256, 128)",0.1,0.0005,1e-05,128,100,15,40,2,samples,False,42
MLP,centralized_by_predicted_cluster,val,8,3.3565041123872326,2.7513937010186633,2.259775407361628,3.7357239672742484,7.048788168094287,1710,1.0,0.9333333333333333,central_04,8,val_rmse_2d_m,"(256, 128)",0.0,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,8,3.978321270878271,3.0433292538943912,2.293129395383002,3.830759107191893,8.336197750163956,1710,1.0,0.9333333333333333,federated_07,8,val_rmse_2d_m,"(256, 128)",0.1,0.0005,1e-05,128,100,15,40,2,samples,False,42
MLP,centralized_by_predicted_cluster,val,9,2.8668837673114504,2.4682252009280248,2.1951365238292286,3.3400322497104638,5.074483716779224,1710,1.0,0.952046783625731,central_04,8,val_rmse_2d_m,"(256, 128)",0.0,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,9,3.559738622397231,2.9638147530752357,2.4267521486267105,3.889408446293612,7.282615834407706,1710,1.0,0.952046783625731,federated_07,8,val_rmse_2d_m,"(256, 128)",0.1,0.0005,1e-05,128,100,15,40,2,samples,False,42
MLP,centralized_by_predicted_cluster,val,10,3.515727210400625,2.7497095581356965,2.1032583477206326,3.554810131200962,7.2147294610416495,1710,1.0,0.9432748538011696,central_04,8,val_rmse_2d_m,"(256, 128)",0.0,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,10,3.2355382944824473,2.6019329727897964,2.118498388714338,3.2436195563030403,7.4193127747143395,1710,1.0,0.9432748538011696,federated_07,8,val_rmse_2d_m,"(256, 128)",0.1,0.0005,1e-05,128,100,15,40,2,samples,False,42
