model,task,selection_modality,candidate_id,selection_split,selection_metric,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n,hidden_sizes,dropout,learning_rate,weight_decay,batch_size,central_epochs,patience,federated_rounds,local_epochs,client_weighting,force_cpu,seed,selected
MLP,coordinates,centralized_global,central_00,val,rmse_2d_m,2.823524674387964,2.289940380956291,1.7847016364077002,2.9396610973077015,5.956015233504971,1710,"(128, 64)",0.0,0.001,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,centralized_global,central_01,val,rmse_2d_m,2.963270533451077,2.3751165464700215,1.8523057304308415,3.1263115611830306,6.271296844929802,1710,"(128, 64)",0.0,0.0005,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,centralized_global,central_02,val,rmse_2d_m,3.104965947250279,2.5376813595501524,2.087686286171813,3.5035974177660965,5.726018837827214,1710,"(128, 64)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,centralized_global,central_03,val,rmse_2d_m,3.9563108225604338,3.095405974229984,2.1378100157161715,4.143019216956587,8.726554665883986,1710,"(128, 64)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,centralized_global,central_04,val,rmse_2d_m,2.5966931001874753,2.1704020449804395,1.8094588941675793,2.794155338226049,5.221803740182543,1710,"(256, 128)",0.0,0.001,1e-05,128,100,15,40,2,uniform,False,42,True
MLP,coordinates,centralized_global,central_05,val,rmse_2d_m,2.7803586490812435,2.311615383869938,1.879714532889446,3.1158570038765148,5.634859538181181,1710,"(256, 128)",0.0,0.0005,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,centralized_global,central_06,val,rmse_2d_m,2.7168288273691323,2.2395356003200706,1.8940495011992247,2.8297433303337187,5.573829021957942,1710,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,centralized_global,central_07,val,rmse_2d_m,3.0621035753034307,2.477656064239861,1.9329895532817634,3.205722970315609,6.5679504963820285,1710,"(256, 128)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,federated_global_fedavg,federated_00,val,rmse_2d_m,23.05364921580284,21.060045382099172,19.958611508498613,24.141194718166357,42.23455737202405,1710,"(128, 64)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,federated_global_fedavg,federated_01,val,rmse_2d_m,22.527631939952784,20.53374842262921,18.681130124900836,23.134823448570152,42.45194619793014,1710,"(128, 64)",0.1,0.001,1e-05,128,100,15,40,2,samples,False,42,False
MLP,coordinates,federated_global_fedavg,federated_02,val,rmse_2d_m,19.46001725785166,17.2459705889138,14.695023681058633,19.72089000162117,38.76932122934171,1710,"(128, 64)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,federated_global_fedavg,federated_03,val,rmse_2d_m,19.16057720220892,16.85691656904353,14.134284559338118,19.273978043518582,39.80836211403448,1710,"(128, 64)",0.1,0.0005,1e-05,128,100,15,40,2,samples,False,42,False
MLP,coordinates,federated_global_fedavg,federated_04,val,rmse_2d_m,23.87849968360412,21.597548691497906,18.923487814864124,23.083134008955412,47.275793051125,1710,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,federated_global_fedavg,federated_05,val,rmse_2d_m,23.08904685770949,20.898275109148887,18.31379630312164,22.141768864998127,46.679762792017726,1710,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,samples,False,42,False
MLP,coordinates,federated_global_fedavg,federated_06,val,rmse_2d_m,18.235687391257645,15.957705978404416,13.293359729100498,17.261149643466904,38.29959389541029,1710,"(256, 128)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,federated_global_fedavg,federated_07,val,rmse_2d_m,17.48852735016811,15.30004114053768,12.398732369905314,16.190305078562027,37.41875937239344,1710,"(256, 128)",0.1,0.0005,1e-05,128,100,15,40,2,samples,False,42,True
