model,modality,split,n_clusters,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n,coverage,gate_accuracy_diagnostic,selected_candidate_id,selected_from_n_candidates,selection_metric,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,central_rounds,early_stopping_rounds,federated_cycles,local_boost_rounds,nthread,seed
XGBoost,centralized_by_predicted_cluster,val,2,2.297912658296737,1.8215606895003058,1.3659366495487764,2.2668755522760393,4.783304150895919,1710,1.0,0.9842105263157894,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,2,17.493911822646375,16.229921845838685,15.98466611425081,20.531583246576222,26.057820307799126,1710,1.0,0.9842105263157894,federated_07,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,centralized_by_predicted_cluster,val,3,2.493975148968269,1.8788112160869201,1.376568005248017,2.286055714553058,5.108300223913799,1710,1.0,0.9842105263157894,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,3,14.687270488481547,12.161775609378397,10.54445918977289,16.771312310679654,27.619729162202383,1710,1.0,0.9842105263157894,federated_07,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,centralized_by_predicted_cluster,val,4,2.711970119629467,2.0779308263919773,1.5984950340725406,2.4688319755843513,5.066839366012863,1710,1.0,0.9713450292397661,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,4,7.008879917221579,5.87104828516777,4.961145482412153,8.655285411384082,12.559657155361549,1710,1.0,0.9713450292397661,federated_07,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,centralized_by_predicted_cluster,val,5,2.68501470788508,1.9869691055902345,1.4127359943985036,2.273778140377387,6.158052943604779,1710,1.0,0.9555555555555556,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,5,6.951216397640841,5.992396078736403,5.244409186636538,8.17029667344057,12.704342101057204,1710,1.0,0.9555555555555556,federated_07,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,centralized_by_predicted_cluster,val,6,2.0849643322327958,1.6526789095900827,1.3248329231879254,2.0602167277716252,4.657348799125402,1710,1.0,0.939766081871345,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,6,5.454519086206692,4.438796249426975,3.531398413463939,6.193186951513479,10.669766884085496,1710,1.0,0.939766081871345,federated_07,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,centralized_by_predicted_cluster,val,7,2.9167965240130544,1.9278651228718855,1.3142804474555678,2.089768826989222,5.372456439531746,1710,1.0,0.9491228070175438,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,7,4.352067217603381,3.3370030087112648,2.524579565686018,4.333401689905203,9.09722867964948,1710,1.0,0.9491228070175438,federated_07,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,centralized_by_predicted_cluster,val,8,1.959412161657092,1.6188796153739398,1.3480376600378543,2.041189240168543,4.045583216028211,1710,1.0,0.9333333333333333,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,8,3.461402487164462,2.8424171246720644,2.3882590648769506,3.8462481121145,6.496055939345602,1710,1.0,0.9333333333333333,federated_07,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,centralized_by_predicted_cluster,val,9,1.8736212111524078,1.5767724232155669,1.3256061580497047,1.8901016014855514,3.436516168867489,1710,1.0,0.952046783625731,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,9,3.1910287923767875,2.6815865035959012,2.384968698899896,3.7163325367556137,5.925328062174838,1710,1.0,0.952046783625731,federated_07,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,centralized_by_predicted_cluster,val,10,2.165355986977134,1.6683026937837857,1.2430123266320328,1.995163047341871,4.5837749750594385,1710,1.0,0.9432748538011696,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,10,3.516082807622924,2.978182184090495,2.7648321183465945,4.206007539667951,6.251912845147932,1710,1.0,0.9432748538011696,federated_07,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
