model,modality,split,n_clusters,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n,coverage,gate_accuracy_diagnostic,n_neighbors,distance,weights
KNN,centralized_by_predicted_cluster,val,2,3.556435097691586,2.9775893177081656,2.600104468843987,4.044853163809965,6.759430160353411,1012,1.0,0.9752964426877471,11,manhattan,distance
KNN,federated_by_predicted_cluster,val,2,3.5564131193079143,2.9775690290152736,2.600104468843986,4.044853163809966,6.759430160353411,1012,1.0,0.9752964426877471,11,manhattan,distance
KNN,centralized_by_predicted_cluster,val,3,3.4077081291906244,2.8899402634525986,2.574154131457637,3.864042363217281,6.269058387680327,1012,1.0,0.9288537549407114,11,manhattan,distance
KNN,federated_by_predicted_cluster,val,3,3.4077081291906244,2.8899402634525986,2.574154131457634,3.8640423632172833,6.269058387680327,1012,1.0,0.9288537549407114,11,manhattan,distance
KNN,centralized_by_predicted_cluster,val,4,3.4944840236187895,2.9378915235025422,2.6221060486331407,3.872357589494043,6.379319827939324,1012,1.0,0.9110671936758893,11,manhattan,distance
KNN,federated_by_predicted_cluster,val,4,3.4944840236187895,2.9378915235025422,2.6221060486331424,3.8723575894940434,6.379319827939324,1012,1.0,0.9110671936758893,11,manhattan,distance
KNN,centralized_by_predicted_cluster,val,5,3.494751278352451,2.931172722488467,2.556475835616453,3.9088813488354863,6.422301898714025,1012,1.0,0.857707509881423,11,manhattan,distance
KNN,federated_by_predicted_cluster,val,5,3.494751278352451,2.931172722488467,2.5564758356164523,3.908881348835487,6.422301898714025,1012,1.0,0.857707509881423,11,manhattan,distance
KNN,centralized_by_predicted_cluster,val,6,3.3916295282128393,2.8112188224566417,2.437478743347963,3.6623570581687597,6.472454511157214,1012,1.0,0.8092885375494071,11,manhattan,distance
KNN,federated_by_predicted_cluster,val,6,3.3916172660915134,2.8111697103353883,2.437478743347963,3.66235705816876,6.472454511157214,1012,1.0,0.8092885375494071,11,manhattan,distance
KNN,centralized_by_predicted_cluster,val,7,3.4061617699835343,2.814481596657512,2.37798795299188,3.643949603659295,6.617860139781313,1012,1.0,0.8132411067193676,11,manhattan,distance
KNN,federated_by_predicted_cluster,val,7,3.4061855578954017,2.814469696880214,2.377987952991879,3.643949603659296,6.617860139781314,1012,1.0,0.8132411067193676,11,manhattan,distance
KNN,centralized_by_predicted_cluster,val,8,3.3364026974605565,2.7257717013920915,2.217245318517377,3.5057170743329276,6.831133504517452,1012,1.0,0.8063241106719368,11,manhattan,distance
KNN,federated_by_predicted_cluster,val,8,3.3364026974605565,2.7257717013920915,2.217245318517377,3.505717074332928,6.831133504517452,1012,1.0,0.8063241106719368,11,manhattan,distance
KNN,centralized_by_predicted_cluster,val,9,3.4719959255691686,2.874797424867108,2.408318223487332,3.7816923059570833,6.641077572880926,1012,1.0,0.7361660079051383,11,manhattan,distance
KNN,federated_by_predicted_cluster,val,9,3.4719959255691686,2.874797424867108,2.408318223487332,3.7816923059570837,6.641077572880924,1012,1.0,0.7361660079051383,11,manhattan,distance
KNN,centralized_by_predicted_cluster,val,10,3.4567296440435737,2.84213099767641,2.317766576183282,3.645068122513225,6.849006725808324,1012,1.0,0.7282608695652174,11,manhattan,distance
KNN,federated_by_predicted_cluster,val,10,3.4567644685800527,2.842133675651643,2.3177665761832817,3.6450681225132255,6.849006725808324,1012,1.0,0.7282608695652174,11,manhattan,distance
