kind,n_neighbors,distance,weights,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n
central,1,manhattan,uniform,4.65105293773301,3.642983875708079,2.9770000000000003,5.101619982855565,9.15762730842681,1012
distributed,1,manhattan,uniform,4.65105293773301,3.642983875708079,2.9770000000000003,5.101619982855565,9.15762730842681,1012
central,1,manhattan,distance,4.65105293773301,3.6429838757080786,2.9770000000000003,5.101619982855565,9.15762730842681,1012
distributed,1,manhattan,distance,4.65105293773301,3.6429838757080786,2.9770000000000003,5.101619982855565,9.15762730842681,1012
central,1,euclidean,uniform,5.3878395036228035,4.204348982693095,3.373253233121416,5.66104449595718,10.672090884211658,1012
distributed,1,euclidean,uniform,5.3878395036228035,4.204348982693095,3.373253233121416,5.66104449595718,10.672090884211658,1012
central,1,euclidean,distance,5.3878395036228035,4.204348982693095,3.373253233121416,5.66104449595718,10.672090884211658,1012
distributed,1,euclidean,distance,5.3878395036228035,4.204348982693095,3.373253233121416,5.66104449595718,10.672090884211658,1012
central,3,manhattan,uniform,3.808292252270765,3.115118512035252,2.570893619019314,4.217519628486864,7.548451345401529,1012
distributed,3,manhattan,uniform,3.808292252270765,3.115118512035252,2.570893619019314,4.217519628486864,7.548451345401529,1012
central,3,manhattan,distance,3.7918755042738876,3.0926056741938672,2.5443424085654547,4.170587176180576,7.473988036462582,1012
distributed,3,manhattan,distance,3.7918755042738876,3.0926056741938672,2.5443424085654547,4.170587176180576,7.473988036462582,1012
central,3,euclidean,uniform,4.533861144869382,3.6230171546044807,2.9722568946779004,4.677790762966613,9.044712256529715,1012
distributed,3,euclidean,uniform,4.5338783452864355,3.6232073822519557,2.9722568946779004,4.677790762966613,9.044712256529715,1012
central,3,euclidean,distance,4.504352006388764,3.5946826186913845,2.972408413458556,4.61132489633811,8.987021724435815,1012
distributed,3,euclidean,distance,4.504369415827455,3.5948650381482374,2.972408413458556,4.61132489633811,8.987021724435815,1012
central,5,manhattan,uniform,3.707674015794968,3.032930345001144,2.5521241794747844,3.948125429666134,7.125906067578325,1012
distributed,5,manhattan,uniform,3.707674015794968,3.032930345001144,2.5521241794747844,3.948125429666134,7.125906067578325,1012
central,5,manhattan,distance,3.6785215587996127,3.004618227344028,2.481739240197596,3.9327301164369173,7.109638899182134,1012
distributed,5,manhattan,distance,3.6785215587996127,3.004618227344028,2.481739240197596,3.9327301164369173,7.109638899182134,1012
