model,modality,split,n_clusters,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n,coverage,gate_accuracy_diagnostic,selected_candidate_id,selected_from_n_candidates,selection_metric,hidden_sizes,dropout,learning_rate,weight_decay,batch_size,central_epochs,patience,federated_rounds,local_epochs,client_weighting,force_cpu,seed
MLP,centralized_by_predicted_cluster,val,2,2.991585455742122,2.5268029142893487,2.268918984277292,3.3322275042081366,5.295449405162732,1012,1.0,0.9752964426877471,central_00,8,val_rmse_2d_m,"(128, 64)",0.0,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,2,3.18474034905498,2.6716858643930523,2.3340288795945754,3.5759287503757835,5.815022153831798,1012,1.0,0.9752964426877471,federated_04,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,centralized_by_predicted_cluster,val,3,3.003432928372944,2.5170240183654626,2.2174284573193788,3.309573663094298,5.5191589379518735,1012,1.0,0.9288537549407114,central_00,8,val_rmse_2d_m,"(128, 64)",0.0,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,3,3.08448036286806,2.582744912941969,2.2168194426981866,3.423156573813763,5.753199564081832,1012,1.0,0.9288537549407114,federated_04,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,centralized_by_predicted_cluster,val,4,3.0761818070001525,2.557812392313776,2.1857618065203144,3.4077997015832913,5.724771638231857,1012,1.0,0.9110671936758893,central_00,8,val_rmse_2d_m,"(128, 64)",0.0,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,4,3.144867634913531,2.6010180883847234,2.1925521614634906,3.391161356769002,5.814682716505997,1012,1.0,0.9110671936758893,federated_04,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,centralized_by_predicted_cluster,val,5,3.1060526846002148,2.602343851216976,2.201765211984123,3.4055611211394368,5.826484261787767,1012,1.0,0.857707509881423,central_00,8,val_rmse_2d_m,"(128, 64)",0.0,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,5,3.3015203000159326,2.7770188585801523,2.414968492041136,3.677157851104165,6.203127244342966,1012,1.0,0.857707509881423,federated_04,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,centralized_by_predicted_cluster,val,6,3.1529596819734462,2.60763652646837,2.203685257965823,3.4141176498688024,6.153730215425908,1012,1.0,0.8092885375494071,central_00,8,val_rmse_2d_m,"(128, 64)",0.0,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,6,3.4185714574161206,2.8390498929774504,2.421934879036044,3.6348672952518792,6.526627183703096,1012,1.0,0.8092885375494071,federated_04,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,centralized_by_predicted_cluster,val,7,3.1839959732643583,2.58206654459545,2.1758420389268682,3.3451548555654327,6.101472692077665,1012,1.0,0.8132411067193676,central_00,8,val_rmse_2d_m,"(128, 64)",0.0,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,7,3.3432215382722545,2.742548064658011,2.299883132608091,3.5488009786885684,6.623367424345355,1012,1.0,0.8132411067193676,federated_04,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,centralized_by_predicted_cluster,val,8,3.1609153527584084,2.5448436392534926,2.0813444093449407,3.2501867230461654,6.420845932311909,1012,1.0,0.8063241106719368,central_00,8,val_rmse_2d_m,"(128, 64)",0.0,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,8,3.3523475549284063,2.7475337798293182,2.281794671281226,3.55606278182681,6.66615848165258,1012,1.0,0.8063241106719368,federated_04,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,centralized_by_predicted_cluster,val,9,3.273532115878029,2.6386293356781176,2.213068842424078,3.3796181554380853,6.3898820557107845,1012,1.0,0.7361660079051383,central_00,8,val_rmse_2d_m,"(128, 64)",0.0,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,9,3.375598284357379,2.7455955535000482,2.3121030840585832,3.593491069748664,6.417211838745435,1012,1.0,0.7361660079051383,federated_04,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,centralized_by_predicted_cluster,val,10,3.3266339468457997,2.6878758157456804,2.2184285539725606,3.4352933433880057,6.850004349116935,1012,1.0,0.7282608695652174,central_00,8,val_rmse_2d_m,"(128, 64)",0.0,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,10,3.368504074041301,2.766257996379085,2.2817301599686193,3.572768092988459,6.700957698897506,1012,1.0,0.7282608695652174,federated_04,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42
