model,modality,split,n_clusters,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n,coverage,gate_accuracy_diagnostic,selected_candidate_id,selected_from_n_candidates,selection_metric,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,central_rounds,early_stopping_rounds,federated_cycles,local_boost_rounds,nthread,seed
XGBoost,centralized_by_predicted_cluster,val,2,2.428206108680302,1.964987096217849,1.658829657883472,2.550905647908399,4.801735051175102,1012,1.0,0.9752964426877471,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,2,3.0551336396330324,2.5554655195031413,2.191857019683238,3.2852942761823885,5.6913320544203385,1012,1.0,0.9752964426877471,federated_06,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,centralized_by_predicted_cluster,val,3,2.441555520287708,1.9918258403166282,1.6995541625879915,2.5513228400720656,4.6378899874795225,1012,1.0,0.9288537549407114,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,3,2.8653297909472566,2.4073254814626943,2.1388682348729398,3.1480333785133165,5.20420662226459,1012,1.0,0.9288537549407114,federated_06,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,centralized_by_predicted_cluster,val,4,2.5433684156745477,2.0283758302300496,1.673103550476835,2.6371865138740205,4.828335928358133,1012,1.0,0.9110671936758893,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,4,2.8966402463673355,2.4008611450838537,2.028864030195141,3.0422275680109037,5.451569373790911,1012,1.0,0.9110671936758893,federated_06,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,centralized_by_predicted_cluster,val,5,2.6240719326302426,2.0989296146434984,1.676503607419935,2.763362041225503,5.0847965851425725,1012,1.0,0.857707509881423,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,5,2.9917542612724484,2.4384066287165327,2.036182349178388,3.2054449626521175,5.935338182018551,1012,1.0,0.857707509881423,federated_06,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,centralized_by_predicted_cluster,val,6,2.693633329525818,2.1206216727724967,1.7384054230779151,2.7305936769189887,5.195095365224141,1012,1.0,0.8092885375494071,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,6,2.93781111403075,2.3871935974426743,2.028955927511362,3.1576412821086928,5.561141298925715,1012,1.0,0.8092885375494071,federated_06,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,centralized_by_predicted_cluster,val,7,2.756976367840951,2.119153232275284,1.6041547357202381,2.638941835639495,5.711691701255531,1012,1.0,0.8132411067193676,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,7,3.0181692820364665,2.4204241399957325,1.9565826619475877,3.092724290860053,6.041679124307201,1012,1.0,0.8132411067193676,federated_06,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,centralized_by_predicted_cluster,val,8,2.7259736414063056,2.085306249926294,1.6084530963563752,2.5857221761356524,5.978497713965514,1012,1.0,0.8063241106719368,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,8,2.945395412079572,2.3360641591762854,1.8371348300517012,2.9546704695480797,6.0477623885597,1012,1.0,0.8063241106719368,federated_06,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,centralized_by_predicted_cluster,val,9,2.871713548425884,2.1881781626959236,1.6441875074544419,2.7376704422118667,5.942669325885778,1012,1.0,0.7361660079051383,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,9,3.0399558779958022,2.3974988739727827,1.852289646987194,3.1079627677403883,6.197957319755998,1012,1.0,0.7361660079051383,federated_06,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,centralized_by_predicted_cluster,val,10,2.9546463731731114,2.247523758057437,1.6787953022891946,2.805111974594839,6.3044498658628765,1012,1.0,0.7282608695652174,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,10,3.159076107034798,2.486350354948898,1.9395614684558131,3.070182688279275,6.556436496585403,1012,1.0,0.7282608695652174,federated_06,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
