model,task,selection_modality,candidate_id,selection_split,selection_metric,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,central_rounds,early_stopping_rounds,federated_cycles,local_boost_rounds,nthread,seed,selected
XGBoost,coordinates,centralized_global,central_00,val,rmse_2d_m,2.68116524789801,2.2840349912424376,2.01023463110334,2.9832708298511896,4.905027752438016,1012,4,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,centralized_global,central_01,val,rmse_2d_m,2.707995988423032,2.301665147520674,2.0018842910191963,3.011046446565211,5.056598356036501,1012,4,0.05,0.85,0.8,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,centralized_global,central_02,val,rmse_2d_m,2.605704188929904,2.2062873937845615,1.9528949528496546,2.920460185416969,4.866228721042766,1012,4,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,centralized_global,central_03,val,rmse_2d_m,2.6161822176928156,2.212720691413944,1.9245510430053283,2.9264205892661077,4.892362276138054,1012,4,0.1,0.85,0.8,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,centralized_global,central_04,val,rmse_2d_m,2.425271766609261,2.0328173537065077,1.749498799244304,2.684655503051229,4.5172664797195115,1012,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,True
XGBoost,coordinates,centralized_global,central_05,val,rmse_2d_m,2.447206754023156,2.0362451733310527,1.7163018987871914,2.691703614639194,4.768042769735787,1012,8,0.05,0.85,0.8,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,centralized_global,central_06,val,rmse_2d_m,2.4561234084323886,2.0654912359784294,1.8042858709645295,2.6774814236422744,4.807942098521781,1012,8,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,centralized_global,central_07,val,rmse_2d_m,2.490384856540421,2.068655653810022,1.718976998739162,2.7117796466371287,4.703959262018988,1012,8,0.1,0.85,0.8,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_00,val,rmse_2d_m,3.7958669687617044,3.2079915735847475,2.7608225225004572,4.1632938991042225,7.203188552031374,1012,4,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_01,val,rmse_2d_m,3.282349501475369,2.788790906682916,2.433147843115761,3.683893674963028,6.083493552424179,1012,4,0.05,0.85,0.55,2.0,1.0,400,30,12,2,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_02,val,rmse_2d_m,3.293107481626269,2.797869698996303,2.427300268508751,3.653937458139257,6.007875896800712,1012,4,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_03,val,rmse_2d_m,3.1012799408477423,2.6594023784784655,2.4010236983807927,3.432889386080835,5.8050243929619425,1012,4,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_04,val,rmse_2d_m,3.522784486511425,2.913774026453616,2.4441461395104813,3.7197933424686145,6.811805376255562,1012,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_05,val,rmse_2d_m,3.1340101571455183,2.625226594922444,2.192049088053513,3.386526486019471,5.933803177463814,1012,8,0.05,0.85,0.55,2.0,1.0,400,30,12,2,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_06,val,rmse_2d_m,3.0258234551440526,2.5664454278657196,2.2236244317137768,3.347340206746902,5.630468366614884,1012,8,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,True
XGBoost,coordinates,federated_global_cyclic_boosting,federated_07,val,rmse_2d_m,3.0727567365201764,2.6278734589246695,2.348008238198685,3.4398711534715547,5.641109851346282,1012,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42,False
