model,modality,split,n_clusters,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n,coverage,gate_accuracy_diagnostic,n_neighbors,distance,weights
KNN,centralized_by_predicted_cluster,val,2,7.169130975726285,5.172747763441533,3.752448961086513,6.536723383542437,13.618322935202189,409,1.0,0.9731051344743277,3,manhattan,distance
KNN,federated_by_predicted_cluster,val,2,7.169130975726285,5.172747763441533,3.752448961086513,6.536723383542437,13.618322935202189,409,1.0,0.9731051344743277,3,manhattan,distance
KNN,centralized_by_predicted_cluster,val,3,7.456663647728567,5.334412666902997,3.9443177157505835,6.751249375715649,14.595708807906737,409,1.0,0.9339853300733496,3,manhattan,distance
KNN,federated_by_predicted_cluster,val,3,7.456663647728567,5.334412666902997,3.9443177157505835,6.751249375715649,14.595708807906737,409,1.0,0.9339853300733496,3,manhattan,distance
KNN,centralized_by_predicted_cluster,val,4,7.115764658023265,5.151384061578068,3.7868067945564405,6.358758241758046,14.768486572118107,409,1.0,0.9315403422982885,3,manhattan,distance
KNN,federated_by_predicted_cluster,val,4,7.115764658023265,5.151384061578068,3.7868067945564405,6.358758241758046,14.768486572118107,409,1.0,0.9315403422982885,3,manhattan,distance
KNN,centralized_by_predicted_cluster,val,5,7.389174845089704,5.333045347733825,3.8908088077301985,7.239811294584111,14.439137463945208,409,1.0,0.8973105134474327,3,manhattan,distance
KNN,federated_by_predicted_cluster,val,5,7.389174845089704,5.333045347733825,3.8908088077301985,7.239811294584111,14.439137463945208,409,1.0,0.8973105134474327,3,manhattan,distance
KNN,centralized_by_predicted_cluster,val,6,7.325573720852091,5.32155243896721,3.998718116303512,6.786785617545887,14.087765615097764,409,1.0,0.8973105134474327,3,manhattan,distance
KNN,federated_by_predicted_cluster,val,6,7.325573720852091,5.32155243896721,3.998718116303512,6.786785617545887,14.087765615097764,409,1.0,0.8973105134474327,3,manhattan,distance
KNN,centralized_by_predicted_cluster,val,7,7.797749260157958,5.571964548661242,4.0892426412926355,7.333261661887209,14.768486572118107,409,1.0,0.882640586797066,3,manhattan,distance
KNN,federated_by_predicted_cluster,val,7,7.797749260157958,5.571964548661242,4.0892426412926355,7.333261661887209,14.768486572118107,409,1.0,0.882640586797066,3,manhattan,distance
KNN,centralized_by_predicted_cluster,val,8,8.0738133221822,5.601287026809511,3.8908088077301985,7.491745193346947,15.820154559415698,409,1.0,0.8459657701711492,3,manhattan,distance
KNN,federated_by_predicted_cluster,val,8,8.0738133221822,5.601287026809511,3.8908088077301985,7.491745193346947,15.820154559415698,409,1.0,0.8459657701711492,3,manhattan,distance
