kind,n_neighbors,distance,weights,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n
central,1,manhattan,uniform,7.786795104243712,5.681556273329547,4.375111884283648,7.246483354013868,14.045705052452915,409
distributed,1,manhattan,uniform,7.786795104243712,5.681556273329547,4.375111884283648,7.246483354013868,14.045705052452915,409
central,1,manhattan,distance,7.786795104243712,5.681556273329546,4.375111884283648,7.246483354013868,14.045705052452911,409
distributed,1,manhattan,distance,7.786795104243712,5.681556273329546,4.375111884283648,7.246483354013868,14.045705052452911,409
central,1,euclidean,uniform,8.753708820744913,6.023593166710413,4.505997780736251,7.289277879186663,17.045355917550108,409
distributed,1,euclidean,uniform,8.753708820744913,6.023593166710413,4.505997780736251,7.289277879186663,17.045355917550108,409
central,1,euclidean,distance,8.753708820744913,6.023593166710413,4.50599778073625,7.289277879186663,17.045355917550108,409
distributed,1,euclidean,distance,8.753708820744913,6.023593166710413,4.50599778073625,7.289277879186663,17.045355917550108,409
central,3,manhattan,uniform,7.881037787013758,5.611739714092082,4.064451527847541,7.419701777849446,15.242107681082262,409
distributed,3,manhattan,uniform,7.879314781015095,5.608285128475143,4.017900571193876,7.419701777849446,15.242107681082262,409
central,3,manhattan,distance,7.350614368477995,5.190569250803876,3.734648788524565,6.4204232302365165,14.363842131651497,409
distributed,3,manhattan,distance,7.34876699944007,5.187114665186937,3.732064525125195,6.4204232302365165,14.363842131651497,409
central,3,euclidean,uniform,7.9006159873570105,5.887482181197108,4.417113813843204,7.5226666740517825,15.60837164881258,409
distributed,3,euclidean,uniform,7.8988972520007765,5.884027595580168,4.390770344964787,7.5226666740517825,15.60837164881258,409
central,3,euclidean,distance,7.568485853775898,5.595339242018852,4.162675457050632,7.076653181496097,15.219587892514713,409
distributed,3,euclidean,distance,7.566691677132757,5.591884656401913,4.132627125940398,7.076653181496097,15.219587892514713,409
central,5,manhattan,uniform,9.066526672045203,6.241841952909761,4.349133853998977,8.114848920343494,15.520967836959164,409
distributed,5,manhattan,uniform,9.064603586581299,6.242329224429728,4.349133853998977,8.114848920343494,15.520967836959164,409
central,5,manhattan,distance,7.916841829939981,5.5496519816988785,3.855647146074399,7.073775056659581,14.604347854719975,409
distributed,5,manhattan,distance,7.918051553111898,5.550605502928241,3.855647146074399,7.073775056659581,14.72070213250873,409
central,5,euclidean,uniform,8.598311546044393,6.328958016220866,4.452842867202922,8.134028327956555,16.01995163731294,409
distributed,5,euclidean,uniform,8.593772920658184,6.328203315747929,4.452842867202922,8.134028327956555,16.01995163731294,409
central,5,euclidean,distance,7.873474857418727,5.86213872226614,4.126766919554624,7.410986646492393,15.693116816902586,409
distributed,5,euclidean,distance,7.870741740517951,5.861586274441554,4.126766919554624,7.410986646492393,15.693116816902586,409
central,7,manhattan,uniform,10.659753220214533,7.064678717854619,5.1547483994104315,8.58942067491239,17.25296690293178,409
distributed,7,manhattan,uniform,10.657847221014913,7.067861623843002,5.1547483994104315,8.58942067491239,17.25296690293178,409
central,7,manhattan,distance,9.021603138964714,6.106379343488873,4.484918831300035,7.489396331363246,14.819106841762949,409
distributed,7,manhattan,distance,9.020628100612544,6.107897827354339,4.484918831300035,7.489396331363246,14.819106841762949,409
central,7,euclidean,uniform,9.525592565927576,6.951593428668175,5.029719286604453,9.469268218391342,18.016624361133207,409
distributed,7,euclidean,uniform,9.53754784195489,6.960368392735486,5.029719286604453,9.469268218391342,18.016624361133207,409
central,7,euclidean,distance,8.57963825496143,6.330603593053443,4.50496141512716,8.435999102502647,16.231053788044814,409
distributed,7,euclidean,distance,8.5902217548529,6.336439198759333,4.50496141512716,8.435999102502647,16.231053788044814,409
central,11,manhattan,uniform,13.802757485029975,8.863732024801783,5.984128165474614,10.547599887185946,26.17376300630315,409
distributed,11,manhattan,uniform,13.802347799437925,8.86460037590874,5.984128165474614,10.547599887185946,26.17376300630315,409
central,11,manhattan,distance,11.479836447206873,7.347409396053349,5.161228267910979,8.4611427567163,18.36113138442081,409
distributed,11,manhattan,distance,11.479278508842492,7.348065250981405,5.165280548484509,8.4611427567163,18.361131384420815,409
central,11,euclidean,uniform,12.203583903152389,8.377691934506824,5.981141880116429,10.09388360132139,24.015019092724046,409
distributed,11,euclidean,uniform,12.204353290910495,8.377952462944588,5.981141880116429,10.09388360132139,24.015019092724046,409
central,11,euclidean,distance,10.761922980934209,7.418536648456751,5.49804822993039,9.272262810054544,19.097799120613704,409
distributed,11,euclidean,distance,10.76286670468907,7.4188044076310025,5.49804822993039,9.272262810054544,19.097799120613704,409
central,15,manhattan,uniform,15.567798309626935,10.023605287120402,6.394822595054726,11.278245244914856,33.35385670782377,409
distributed,15,manhattan,uniform,15.567802181709277,10.024126649394443,6.394822595054726,11.278245244914856,33.35385670782377,409
central,15,manhattan,distance,12.771387892480288,8.136813801943742,5.677219839098556,9.347070301555217,21.879197277889503,409
distributed,15,manhattan,distance,12.771167568497331,8.137128228711445,5.677219839098545,9.347070301555217,21.879197277889503,409
central,15,euclidean,uniform,14.304315101995334,9.621372062239379,6.5803925938266605,10.664110307839925,29.670000340547617,409
distributed,15,euclidean,uniform,14.304521217912185,9.621666742723288,6.5803925938266605,10.664110307839925,29.683761752954336,409
central,15,euclidean,distance,12.358849611349447,8.382717764492408,6.204787436674911,9.981264955784223,23.389561703424498,409
distributed,15,euclidean,distance,12.358978222257319,8.382922999019426,6.204787436674911,9.98991828332355,23.389561703424498,409
central,21,manhattan,uniform,17.075100911700147,11.144166210856964,7.026338488541208,12.313371428604563,37.5049289993769,409
distributed,21,manhattan,uniform,17.07569947192892,11.14481200795542,7.026338488541208,12.313371428604563,37.5049289993769,409
central,21,manhattan,distance,13.834367407421235,8.929296293302246,6.07217559477136,9.99545110022893,27.39448402792292,409
distributed,21,manhattan,distance,13.834958382730054,8.929968096855754,6.072175594771372,9.995451100228944,27.394484027922925,409
central,21,euclidean,uniform,16.34480811487683,10.904480807706296,6.882797121806998,12.347635807841282,37.31946105413367,409
distributed,21,euclidean,uniform,16.344055717962064,10.903332825741868,6.882797121806998,12.347635807841282,37.31946105413367,409
central,21,euclidean,distance,14.057822475117698,9.461903653119554,6.48741840162897,11.156187284149782,28.910334871611454,409
distributed,21,euclidean,distance,14.057041805727359,9.461067691707978,6.48741840162897,11.156187284149782,28.86668155152288,409
central,31,manhattan,uniform,18.138397680349733,12.340025799935995,7.642450741762784,15.577918422723089,37.45517983742293,409
distributed,31,manhattan,uniform,18.138226487575952,12.339772367673726,7.642450741762784,15.577918422723089,37.45517983742293,409
central,31,manhattan,distance,14.982478416205288,10.012813659281115,6.83256508335948,11.749642612102225,30.302989086241826,409
distributed,31,manhattan,distance,14.982424502864532,10.012633510381058,6.83256508335948,11.749642612102225,30.302989086241826,409
central,31,euclidean,uniform,18.245575566395814,12.282289426860853,7.769793914318324,14.22332086942534,40.991322926763125,409
distributed,31,euclidean,uniform,18.245514630888092,12.281975132215507,7.776152753059703,14.22332086942534,40.99975832615474,409
central,31,euclidean,distance,15.892458212900808,10.70426944153559,7.266322367246979,12.404088121468911,32.07963197728329,409
distributed,31,euclidean,distance,15.892432032371472,10.70400910615976,7.26632236724698,12.404088121468911,32.07963197728329,409
