n_neighbors,distance,weights,floor_accuracy,n
3,manhattan,distance,0.9535452322738386,409
1,manhattan,uniform,0.9511002444987775,409
1,manhattan,distance,0.9511002444987775,409
3,manhattan,uniform,0.9511002444987775,409
3,euclidean,uniform,0.9486552567237164,409
3,euclidean,distance,0.9486552567237164,409
5,manhattan,distance,0.9437652811735942,409
1,euclidean,uniform,0.941320293398533,409
1,euclidean,distance,0.941320293398533,409
5,euclidean,distance,0.941320293398533,409
7,manhattan,distance,0.941320293398533,409
7,euclidean,distance,0.9388753056234719,409
5,manhattan,uniform,0.9364303178484108,409
5,euclidean,uniform,0.9364303178484108,409
7,euclidean,uniform,0.9315403422982885,409
11,manhattan,distance,0.9290953545232273,409
11,euclidean,distance,0.9266503667481663,409
7,manhattan,uniform,0.9193154034229829,409
15,manhattan,distance,0.9144254278728606,409
11,euclidean,uniform,0.9070904645476773,409
15,euclidean,distance,0.9070904645476773,409
11,manhattan,uniform,0.9046454767726161,409
21,manhattan,distance,0.902200488997555,409
15,manhattan,uniform,0.8899755501222494,409
15,euclidean,uniform,0.8801955990220048,409
21,euclidean,distance,0.8801955990220048,409
21,manhattan,uniform,0.8704156479217604,409
21,euclidean,uniform,0.8533007334963325,409
