model,modality,split,n_clusters,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n,coverage,gate_accuracy_diagnostic,selected_candidate_id,selected_from_n_candidates,selection_metric,hidden_sizes,dropout,learning_rate,weight_decay,batch_size,central_epochs,patience,federated_rounds,local_epochs,client_weighting,force_cpu,seed
MLP,centralized_by_predicted_cluster,val,2,6.262826774833097,5.029396006152396,4.3965478464315835,6.436938883728606,10.381058582400064,409,1.0,0.9731051344743277,central_06,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,2,8.15974307332876,6.30921858204538,5.245121884477429,7.757231505168383,13.85124815145888,409,1.0,0.9731051344743277,federated_04,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,centralized_by_predicted_cluster,val,3,6.640014163203333,5.0947075421466685,4.052539006267057,6.303379180785671,11.92951529564376,409,1.0,0.9339853300733496,central_06,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,3,9.14651601256402,7.20572109509559,5.9942415880143844,9.29582832972471,18.1988998001988,409,1.0,0.9339853300733496,federated_04,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,centralized_by_predicted_cluster,val,4,6.225348185959783,4.784232964061522,3.8878996207994496,6.220296475592421,10.717230801024455,409,1.0,0.9315403422982885,central_06,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,4,7.899657335802843,5.950780649279604,4.644139172635478,7.483953799988121,15.601777588787495,409,1.0,0.9315403422982885,federated_04,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,centralized_by_predicted_cluster,val,5,6.222980755781399,4.774780126768812,3.955330372650912,6.001176808511138,10.537288117642737,409,1.0,0.8973105134474327,central_06,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,5,7.642707787016798,5.7039277606432535,4.40987341974227,6.907552581038603,13.95963774744455,409,1.0,0.8973105134474327,federated_04,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,centralized_by_predicted_cluster,val,6,6.349608437339411,4.833108673347489,3.949017843065785,6.109310769112025,11.122763343733977,409,1.0,0.8973105134474327,central_06,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,6,7.956252765120757,5.883660550511344,4.464688865085696,7.036736880380763,16.64158670975503,409,1.0,0.8973105134474327,federated_04,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,centralized_by_predicted_cluster,val,7,6.122194026996522,4.770920721086523,4.012370046293809,6.1117860269936966,10.956756019558421,409,1.0,0.882640586797066,central_06,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,7,7.8482194670850225,5.831219592797825,4.547216340371792,7.367993731869172,15.075846623290662,409,1.0,0.882640586797066,federated_04,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,centralized_by_predicted_cluster,val,8,6.543640630423073,4.995347445052494,3.8817912696844536,6.180576460074661,12.565463117779668,409,1.0,0.8459657701711492,central_06,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,8,8.577292516553472,5.988982827012776,4.312300898166529,6.920515560225317,16.248457897915436,409,1.0,0.8459657701711492,federated_04,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42
