model,task,selection_modality,candidate_id,selection_split,selection_metric,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n,hidden_sizes,dropout,learning_rate,weight_decay,batch_size,central_epochs,patience,federated_rounds,local_epochs,client_weighting,force_cpu,seed,selected
MLP,coordinates,centralized_global,central_00,val,rmse_2d_m,6.9478056297092365,5.294819053887442,4.271030998094509,6.562378465374982,11.61151753596753,409,"(128, 64)",0.0,0.001,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,centralized_global,central_01,val,rmse_2d_m,7.262536132762993,5.570938023654851,4.532053848007449,6.779316841142213,13.5271986818413,409,"(128, 64)",0.0,0.0005,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,centralized_global,central_02,val,rmse_2d_m,7.2688306825972955,5.426355528163138,4.292553550900909,6.663265483139605,12.354589760819772,409,"(128, 64)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,centralized_global,central_03,val,rmse_2d_m,7.442418955376575,5.65734333487258,4.387515348369883,7.00437532392244,14.447780851686387,409,"(128, 64)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,centralized_global,central_04,val,rmse_2d_m,6.862188176649556,5.167473249330894,4.1568831479639226,6.065460570189453,11.49573378576719,409,"(256, 128)",0.0,0.001,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,centralized_global,central_05,val,rmse_2d_m,6.8560823276605225,5.22508282255823,4.201989667847824,6.456634717559974,11.852144409676653,409,"(256, 128)",0.0,0.0005,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,centralized_global,central_06,val,rmse_2d_m,6.807014578479644,5.211442944399196,4.11392765026969,6.537587402753037,11.910445230351284,409,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42,True
MLP,coordinates,centralized_global,central_07,val,rmse_2d_m,7.048699884160007,5.340227707081935,4.273603323946454,6.500695868301783,12.006407039365527,409,"(256, 128)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,federated_global_fedavg,federated_00,val,rmse_2d_m,8.651936553043317,6.455054901522172,5.00885926150676,7.993560497706774,15.738897604595689,409,"(128, 64)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,federated_global_fedavg,federated_01,val,rmse_2d_m,9.018115728819824,6.635591384946979,5.068385093679202,8.186014732926898,17.97756499508533,409,"(128, 64)",0.1,0.001,1e-05,128,100,15,40,2,samples,False,42,False
MLP,coordinates,federated_global_fedavg,federated_02,val,rmse_2d_m,9.199724215563755,7.154236608442712,5.9552915568159355,9.410852359004993,16.928818184297615,409,"(128, 64)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,federated_global_fedavg,federated_03,val,rmse_2d_m,9.376033747763756,7.192276803750397,5.8120412407899185,8.878797787814971,18.068389721612267,409,"(128, 64)",0.1,0.0005,1e-05,128,100,15,40,2,samples,False,42,False
MLP,coordinates,federated_global_fedavg,federated_04,val,rmse_2d_m,8.615727215360142,6.23892542301772,4.887410470215588,7.483522000759459,16.079622239673196,409,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42,True
MLP,coordinates,federated_global_fedavg,federated_05,val,rmse_2d_m,8.821632904122037,6.400831429468089,4.965728779594947,7.5809749431636515,16.69114220110272,409,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,samples,False,42,False
MLP,coordinates,federated_global_fedavg,federated_06,val,rmse_2d_m,9.085401270394936,6.969829554913028,5.483077839822902,8.425900158691094,17.968465234899178,409,"(256, 128)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,federated_global_fedavg,federated_07,val,rmse_2d_m,9.175802945221049,6.924186948586173,5.345312389046504,8.446464535549454,17.390268625936244,409,"(256, 128)",0.1,0.0005,1e-05,128,100,15,40,2,samples,False,42,False
