model,modality,split,n_clusters,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n,coverage,gate_accuracy_diagnostic,selected_candidate_id,selected_from_n_candidates,selection_metric,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,central_rounds,early_stopping_rounds,federated_cycles,local_boost_rounds,nthread,seed
XGBoost,centralized_by_predicted_cluster,val,2,7.187671660980531,5.168422375814922,4.0550146679224985,6.509202103093599,12.426776157958129,409,1.0,0.9731051344743277,central_06,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,2,9.761204480449132,7.896009800709829,6.567624602240793,9.829234478906956,18.188283984989013,409,1.0,0.9731051344743277,federated_07,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,centralized_by_predicted_cluster,val,3,7.282562329738432,5.16594340122056,4.077108476101838,6.401314387132964,11.432001183076204,409,1.0,0.9339853300733496,central_06,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,3,10.283442038261732,7.942633922171692,5.99362728816335,10.238718483766483,19.345064052425553,409,1.0,0.9339853300733496,federated_07,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,centralized_by_predicted_cluster,val,4,7.1621530990068925,4.998782823274512,3.5554272737636836,5.924019791457938,12.699774289512538,409,1.0,0.9315403422982885,central_06,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,4,9.656344926012371,7.4804560454538676,5.805672541772877,9.08401569409807,19.78013432148347,409,1.0,0.9315403422982885,federated_07,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,centralized_by_predicted_cluster,val,5,6.954088354275933,4.929231507324967,3.5513546896766472,6.025022606552219,12.637191467139983,409,1.0,0.8973105134474327,central_06,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,5,9.516373427766682,7.162892335003889,5.372473805244363,8.348901684920918,20.110752311305426,409,1.0,0.8973105134474327,federated_07,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,centralized_by_predicted_cluster,val,6,6.873063198549555,4.958805587273265,3.683624956123216,6.155643189460141,12.412822325661804,409,1.0,0.8973105134474327,central_06,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,6,9.636922571178035,7.350700929789245,5.732268244487651,9.100745539291713,18.731004168206788,409,1.0,0.8973105134474327,federated_07,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,centralized_by_predicted_cluster,val,7,7.1794060796430035,5.113039981696713,4.026060020984762,6.423913458972538,11.835154421662565,409,1.0,0.882640586797066,central_06,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,7,8.435412129392626,6.392375591644193,5.296925805629439,7.903982867220183,14.00543506975062,409,1.0,0.882640586797066,federated_07,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,centralized_by_predicted_cluster,val,8,7.554224881709714,5.178364879175655,3.620942935539353,6.568949286259181,12.703614230551997,409,1.0,0.8459657701711492,central_06,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,8,8.987198239172788,6.640628612901263,5.223014727861081,8.186954114280857,15.99701356624881,409,1.0,0.8459657701711492,federated_07,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
