model,task,selection_modality,candidate_id,selection_split,selection_metric,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,central_rounds,early_stopping_rounds,federated_cycles,local_boost_rounds,nthread,seed,selected
XGBoost,coordinates,centralized_global,central_00,val,rmse_2d_m,10.457535035933727,7.694543506600091,6.1145685797292115,9.674716589075825,18.424021540000524,409,4,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,centralized_global,central_01,val,rmse_2d_m,10.624815768878944,7.88156962832089,6.2638546159768085,9.782717161678928,19.351818159715926,409,4,0.05,0.85,0.8,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,centralized_global,central_02,val,rmse_2d_m,9.816262334511269,7.252434026871203,5.452503999575102,8.835830015265152,16.60334552961508,409,4,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,centralized_global,central_03,val,rmse_2d_m,10.111578753821252,7.4192949584343015,5.801299652972717,9.34221174599991,17.64698844353095,409,4,0.1,0.85,0.8,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,centralized_global,central_04,val,rmse_2d_m,9.514377525375744,6.364436346196329,4.479794857862465,7.5864596746977115,16.38766647911542,409,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,centralized_global,central_05,val,rmse_2d_m,9.751138012345127,6.532171591322983,4.860389861741323,7.5787167778311435,16.093165391021415,409,8,0.05,0.85,0.8,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,centralized_global,central_06,val,rmse_2d_m,9.482885997527356,6.393658906715983,4.764988166477331,7.583011970616148,15.904442541822,409,8,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,True
XGBoost,coordinates,centralized_global,central_07,val,rmse_2d_m,9.763719869236803,6.581821461015739,5.02530922548109,7.613205800835531,15.932015626337346,409,8,0.1,0.85,0.8,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_00,val,rmse_2d_m,18.32256116411459,13.801012728554527,10.238682508506464,17.558056451852206,39.2494179355299,409,4,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_01,val,rmse_2d_m,16.00080431995955,11.953663255774082,9.123083388649304,14.18640128449395,34.60444479466771,409,4,0.05,0.85,0.55,2.0,1.0,400,30,12,2,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_02,val,rmse_2d_m,15.83922097285078,12.073695122081531,9.425671671951957,15.224675855512547,31.751052299574372,409,4,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_03,val,rmse_2d_m,14.878263498549497,11.360318547948976,9.089306278387491,13.954868041664843,29.21543310441799,409,4,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_04,val,rmse_2d_m,16.238077072017767,11.62355778418248,8.269785560293844,13.90825981531098,36.88808195193341,409,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_05,val,rmse_2d_m,13.953567727850979,10.257335535200447,7.608185668455054,12.445163720882782,28.980687514753537,409,8,0.05,0.85,0.55,2.0,1.0,400,30,12,2,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_06,val,rmse_2d_m,13.653121433771043,10.240347656249698,7.469804352702703,12.864379545323427,27.848089773979346,409,8,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_07,val,rmse_2d_m,13.303742094569893,10.114699792897948,7.9182957978409645,12.337223675972,24.837186192211362,409,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42,True
