model,task,modality,split,n_clusters,floor_accuracy,n,coverage,gate_accuracy_diagnostic,selected_candidate_id,selected_from_n_candidates,selection_metric,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,central_rounds,early_stopping_rounds,federated_cycles,local_boost_rounds,nthread,seed
XGBoost,floor,centralized_by_predicted_cluster,val,2,0.9511002444987775,409,1.0,0.9731051344743277,central_00,8,val_floor_accuracy,4,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,floor,federated_by_predicted_cluster_cyclic_boosting,val,2,0.9633251833740831,409,1.0,0.9731051344743277,federated_07,8,val_floor_accuracy,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,floor,centralized_by_predicted_cluster,val,3,0.9633251833740831,409,1.0,0.9339853300733496,central_00,8,val_floor_accuracy,4,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,floor,federated_by_predicted_cluster_cyclic_boosting,val,3,0.941320293398533,409,1.0,0.9339853300733496,federated_07,8,val_floor_accuracy,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,floor,centralized_by_predicted_cluster,val,4,0.9584352078239609,409,1.0,0.9315403422982885,central_00,8,val_floor_accuracy,4,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,floor,federated_by_predicted_cluster_cyclic_boosting,val,4,0.9339853300733496,409,1.0,0.9315403422982885,federated_07,8,val_floor_accuracy,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,floor,centralized_by_predicted_cluster,val,5,0.9486552567237164,409,1.0,0.8973105134474327,central_00,8,val_floor_accuracy,4,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,floor,federated_by_predicted_cluster_cyclic_boosting,val,5,0.9388753056234719,409,1.0,0.8973105134474327,federated_07,8,val_floor_accuracy,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,floor,centralized_by_predicted_cluster,val,6,0.9584352078239609,409,1.0,0.8973105134474327,central_00,8,val_floor_accuracy,4,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,floor,federated_by_predicted_cluster_cyclic_boosting,val,6,0.9559902200488998,409,1.0,0.8973105134474327,federated_07,8,val_floor_accuracy,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,floor,centralized_by_predicted_cluster,val,7,0.9486552567237164,409,1.0,0.882640586797066,central_00,8,val_floor_accuracy,4,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,floor,federated_by_predicted_cluster_cyclic_boosting,val,7,0.9168704156479217,409,1.0,0.882640586797066,federated_07,8,val_floor_accuracy,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,floor,centralized_by_predicted_cluster,val,8,0.9437652811735942,409,1.0,0.8459657701711492,central_00,8,val_floor_accuracy,4,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,floor,federated_by_predicted_cluster_cyclic_boosting,val,8,0.8924205378973105,409,1.0,0.8459657701711492,federated_07,8,val_floor_accuracy,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
