model,modality,split,n_clusters,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n,coverage,gate_accuracy_diagnostic,n_neighbors,distance,weights
KNN,centralized_by_predicted_cluster,val,2,9.829933607012991,7.533941822731423,5.919893115362307,8.5908691420325,21.710618449794556,363,1.0,0.9972451790633609,9,manhattan,distance
KNN,federated_by_predicted_cluster,val,2,9.829933607012958,7.533941822743929,5.919893115361449,8.590869142115135,21.710618449794556,363,1.0,0.9972451790633609,9,manhattan,distance
KNN,centralized_by_predicted_cluster,val,3,9.226911273638926,7.287856852138117,5.919893115362307,8.5908691420325,21.710618449794556,363,1.0,1.0,9,manhattan,distance
KNN,federated_by_predicted_cluster,val,3,9.231983234970576,7.290327643066114,5.919893115361449,8.590869142115135,21.710618449794065,363,1.0,1.0,9,manhattan,distance
KNN,centralized_by_predicted_cluster,val,4,9.232901663811662,7.300430035325501,5.928211810707671,8.5908691420325,21.710618449794556,363,1.0,1.0,9,manhattan,distance
KNN,federated_by_predicted_cluster,val,4,9.237970336215032,7.302900826253497,5.928211811119936,8.590869142115135,21.710618449794065,363,1.0,1.0,9,manhattan,distance
KNN,centralized_by_predicted_cluster,val,5,9.232901663821004,7.300430035328066,5.928211810707671,8.5908691420325,21.710618449794556,363,1.0,1.0,9,manhattan,distance
KNN,federated_by_predicted_cluster,val,5,9.237970336209008,7.302900826260181,5.928211811119936,8.590869142115135,21.710618449794065,363,1.0,1.0,9,manhattan,distance
KNN,centralized_by_predicted_cluster,val,6,8.548883997727323,6.883295006784277,5.62356745706194,8.424181359814387,19.16574989955285,363,1.0,0.9944903581267218,9,manhattan,distance
KNN,federated_by_predicted_cluster,val,6,8.554357977394027,6.88576579770866,5.623567456757434,8.424181359282525,19.170151754134928,363,1.0,0.9944903581267218,9,manhattan,distance
KNN,centralized_by_predicted_cluster,val,7,8.698715625635081,6.934709760334734,5.62356745706194,8.424181359814387,19.171358388479778,363,1.0,0.9862258953168044,9,manhattan,distance
KNN,federated_by_predicted_cluster,val,7,8.698715625619602,6.934709760335598,5.623567456757434,8.424181359282525,19.171358388433955,363,1.0,0.9862258953168044,9,manhattan,distance
KNN,centralized_by_predicted_cluster,val,8,9.203636912402356,7.132351242577301,5.628963733448732,8.473626356863072,21.710618449794556,363,1.0,0.9669421487603306,9,manhattan,distance
KNN,federated_by_predicted_cluster,val,8,9.20364110915449,7.132354738129659,5.628963733976546,8.473626356728904,21.710618449794065,363,1.0,0.9669421487603306,9,manhattan,distance
KNN,centralized_by_predicted_cluster,val,9,8.867508373477524,6.934697154351642,5.097017822802648,8.77281118305218,19.171358388479778,363,1.0,0.9449035812672176,9,manhattan,distance
KNN,federated_by_predicted_cluster,val,9,8.86750837347974,6.93469715436117,5.0970178228026715,8.772811183052475,19.171358388433955,363,1.0,0.9449035812672176,9,manhattan,distance
KNN,centralized_by_predicted_cluster,val,10,10.836237115992557,8.23539555778229,5.628963733448732,9.236495070922007,22.034610328325865,363,1.0,0.768595041322314,9,manhattan,distance
KNN,federated_by_predicted_cluster,val,10,10.836237116015903,8.235395557791257,5.628963733976546,9.236495071076787,22.03461032832663,363,1.0,0.768595041322314,9,manhattan,distance
