kind,n_neighbors,distance,weights,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n
central,3,manhattan,uniform,10.23889393260661,7.782554671060207,5.507935933806489,9.17504283915748,23.049068041696177,363
distributed,3,manhattan,uniform,10.237209641385286,7.775750895453679,5.507935933806489,9.17504283915748,23.049068041696177,363
central,3,manhattan,distance,10.154171212425778,7.707444325424094,5.47945317063036,9.030508358016219,23.049068041788754,363
distributed,3,manhattan,distance,10.152730039432466,7.701874053615951,5.47945317063036,9.030508358016219,23.049068041788754,363
central,3,euclidean,uniform,10.643439746359844,8.296080995427921,6.144377385529916,10.340796499706975,23.027561806011338,363
distributed,3,euclidean,uniform,10.641819483251348,8.289277219841003,6.144377385529916,10.340796499706975,23.027561806011338,363
central,3,euclidean,distance,10.557978966515273,8.209803250858226,6.171617560462449,10.234791145942165,23.0255612172643,363
distributed,3,euclidean,distance,10.556643080305541,8.20409516226318,6.171617560462449,10.234791145942165,23.0255612172643,363
central,5,manhattan,uniform,9.780810995386506,7.571411271516234,5.502120550545523,8.877311071961596,23.784766886440806,363
distributed,5,manhattan,uniform,9.780810995386506,7.571411271516234,5.502120550545523,8.877311071961596,23.784766886440806,363
central,5,manhattan,distance,9.702375075524568,7.498424878764932,5.4708221245851485,8.868582346829523,23.683185150093788,363
distributed,5,manhattan,distance,9.702375075524568,7.498424878764932,5.4708221245851485,8.868582346829523,23.683185150093788,363
central,5,euclidean,uniform,10.35396529951382,8.116768232700965,6.045350702037389,9.589543570108027,21.67243601077707,363
distributed,5,euclidean,uniform,10.35310621934698,8.115857473863754,6.045350702037389,9.57291502026632,21.67243601077707,363
central,5,euclidean,distance,10.237331278692395,8.018761888382617,6.102606770385746,9.49309623728508,21.753229551288836,363
distributed,5,euclidean,distance,10.236605733152203,8.017974388755789,6.102606770385746,9.390653368138715,21.753229551288836,363
central,7,manhattan,uniform,9.380467541717037,7.418278105948057,5.900078452301715,8.402528343743107,21.64572171984137,363
distributed,7,manhattan,uniform,9.386664090208953,7.421469206041037,5.900078452301715,8.402528343743107,21.64572171944228,363
central,7,manhattan,distance,9.321385318954635,7.361401258913941,5.756103150719417,8.340343438687341,21.64572171984137,363
distributed,7,manhattan,distance,9.327403219661468,7.364485182774873,5.756103150719417,8.340343438687341,21.64572171944228,363
central,7,euclidean,uniform,9.980012677457989,7.923709693366523,5.953283944611673,9.647177851551717,21.64572171984137,363
distributed,7,euclidean,uniform,9.980012677437722,7.923709693356067,5.953283945045985,9.647177851551717,21.64572171944228,363
central,7,euclidean,distance,9.875346532488072,7.846125180162749,5.953283945045985,9.463175974300768,21.64572171944228,363
distributed,7,euclidean,distance,9.87534653252168,7.846125180160599,5.953283944178687,9.463175974300768,21.64572172023857,363
central,9,manhattan,uniform,9.310995248177852,7.368434197508626,6.013942293680425,8.464703698065847,21.710618449794065,363
distributed,9,manhattan,uniform,9.308463463096736,7.367152358778118,6.013942293680425,8.464703698065847,21.71061845018673,363
central,9,manhattan,distance,9.248247782948606,7.305068184437493,5.919893115362307,8.5908691420325,21.710618449794556,363
distributed,9,manhattan,distance,9.245871934232284,7.3038713508337985,5.919893115361449,8.590869142115135,21.71061845018673,363
central,9,euclidean,uniform,9.920411034059445,7.834124215848778,6.021220354138228,9.305160009413937,21.710618449794065,363
distributed,9,euclidean,uniform,9.9206768678474,7.834947643438211,6.021220353689962,9.305160009413937,21.71061845018673,363
central,9,euclidean,distance,9.810193610663477,7.759348607954702,6.021220354137978,9.325358974801183,21.710618449794556,363
distributed,9,euclidean,distance,9.810307117382182,7.759691029959504,6.021220354137978,9.32535897480152,21.710618449794556,363
