model,task,modality,split,n_clusters,floor_accuracy,n,coverage,gate_accuracy_diagnostic,n_neighbors,distance,weights
KNN,floor,centralized_by_predicted_cluster,val,2,0.9586776859504132,363,1.0,0.9972451790633609,5,manhattan,uniform
KNN,floor,federated_by_predicted_cluster,val,2,0.9586776859504132,363,1.0,0.9972451790633609,5,manhattan,uniform
KNN,floor,centralized_by_predicted_cluster,val,3,0.9586776859504132,363,1.0,1.0,5,manhattan,uniform
KNN,floor,federated_by_predicted_cluster,val,3,0.9586776859504132,363,1.0,1.0,5,manhattan,uniform
KNN,floor,centralized_by_predicted_cluster,val,4,0.9586776859504132,363,1.0,1.0,5,manhattan,uniform
KNN,floor,federated_by_predicted_cluster,val,4,0.9586776859504132,363,1.0,1.0,5,manhattan,uniform
KNN,floor,centralized_by_predicted_cluster,val,5,0.9586776859504132,363,1.0,1.0,5,manhattan,uniform
KNN,floor,federated_by_predicted_cluster,val,5,0.9586776859504132,363,1.0,1.0,5,manhattan,uniform
KNN,floor,centralized_by_predicted_cluster,val,6,0.9586776859504132,363,1.0,0.9944903581267218,5,manhattan,uniform
KNN,floor,federated_by_predicted_cluster,val,6,0.9586776859504132,363,1.0,0.9944903581267218,5,manhattan,uniform
KNN,floor,centralized_by_predicted_cluster,val,7,0.9586776859504132,363,1.0,0.9862258953168044,5,manhattan,uniform
KNN,floor,federated_by_predicted_cluster,val,7,0.9586776859504132,363,1.0,0.9862258953168044,5,manhattan,uniform
KNN,floor,centralized_by_predicted_cluster,val,8,0.9586776859504132,363,1.0,0.9669421487603306,5,manhattan,uniform
KNN,floor,federated_by_predicted_cluster,val,8,0.9586776859504132,363,1.0,0.9669421487603306,5,manhattan,uniform
KNN,floor,centralized_by_predicted_cluster,val,9,0.9586776859504132,363,1.0,0.9449035812672176,5,manhattan,uniform
KNN,floor,federated_by_predicted_cluster,val,9,0.9586776859504132,363,1.0,0.9449035812672176,5,manhattan,uniform
KNN,floor,centralized_by_predicted_cluster,val,10,0.9559228650137741,363,1.0,0.768595041322314,5,manhattan,uniform
KNN,floor,federated_by_predicted_cluster,val,10,0.9559228650137741,363,1.0,0.768595041322314,5,manhattan,uniform
