n_neighbors,distance,weights,floor_accuracy,n
5,manhattan,uniform,0.9586776859504132,363
5,manhattan,distance,0.9586776859504132,363
7,manhattan,uniform,0.9586776859504132,363
7,manhattan,distance,0.9586776859504132,363
11,manhattan,uniform,0.9586776859504132,363
11,manhattan,distance,0.9586776859504132,363
15,manhattan,uniform,0.9586776859504132,363
15,manhattan,distance,0.9586776859504132,363
21,manhattan,uniform,0.9586776859504132,363
21,manhattan,distance,0.9586776859504132,363
3,manhattan,uniform,0.9559228650137741,363
3,manhattan,distance,0.9559228650137741,363
1,manhattan,uniform,0.9504132231404959,363
1,manhattan,distance,0.9504132231404959,363
3,euclidean,distance,0.9476584022038568,363
1,euclidean,uniform,0.9421487603305785,363
1,euclidean,distance,0.9421487603305785,363
5,euclidean,distance,0.9421487603305785,363
21,euclidean,distance,0.9421487603305785,363
3,euclidean,uniform,0.9393939393939394,363
5,euclidean,uniform,0.9393939393939394,363
7,euclidean,distance,0.9393939393939394,363
21,euclidean,uniform,0.9393939393939394,363
7,euclidean,uniform,0.9366391184573003,363
11,euclidean,uniform,0.9366391184573003,363
11,euclidean,distance,0.9366391184573003,363
15,euclidean,uniform,0.9366391184573003,363
15,euclidean,distance,0.9366391184573003,363
