model,modality,split,n_clusters,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n,coverage,gate_accuracy_diagnostic,selected_candidate_id,selected_from_n_candidates,selection_metric,hidden_sizes,dropout,learning_rate,weight_decay,batch_size,central_epochs,patience,federated_rounds,local_epochs,client_weighting,force_cpu,seed
MLP,centralized_by_predicted_cluster,val,2,8.326972320030977,6.597304161820364,5.333365540494518,8.398063946919397,19.411371412187428,363,1.0,0.9972451790633609,central_05,8,val_rmse_2d_m,"(256, 128)",0.0,0.0005,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,2,8.651567556408272,6.870848945648446,5.573760675280519,8.211302483926291,20.839576942467367,363,1.0,0.9972451790633609,federated_02,8,val_rmse_2d_m,"(128, 64)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42
MLP,centralized_by_predicted_cluster,val,3,8.02857010945744,6.488794434304707,5.605017598611116,7.8424325897039875,19.866155826125716,363,1.0,1.0,central_05,8,val_rmse_2d_m,"(256, 128)",0.0,0.0005,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,3,8.603817265285658,7.190901872116757,6.503825952039673,9.003172082792632,17.779715638267945,363,1.0,1.0,federated_02,8,val_rmse_2d_m,"(128, 64)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42
MLP,centralized_by_predicted_cluster,val,4,8.355449515491868,6.989734406712239,6.3241428498501175,8.348016994921785,19.60440617287131,363,1.0,1.0,central_05,8,val_rmse_2d_m,"(256, 128)",0.0,0.0005,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,4,8.368440102437889,6.89941240200678,5.79941036280835,7.944354195819418,20.52506744293231,363,1.0,1.0,federated_02,8,val_rmse_2d_m,"(128, 64)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42
MLP,centralized_by_predicted_cluster,val,5,8.392620546246759,6.88250131540706,5.794989310277161,8.539916266603415,20.371750598068697,363,1.0,1.0,central_05,8,val_rmse_2d_m,"(256, 128)",0.0,0.0005,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,5,8.765077415639928,7.231229489287573,5.989377557213531,8.414210369186353,19.879468699965233,363,1.0,1.0,federated_02,8,val_rmse_2d_m,"(128, 64)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42
MLP,centralized_by_predicted_cluster,val,6,8.047727349341809,6.429200967276467,5.532142542455508,7.424937229456448,19.9849825775799,363,1.0,0.9944903581267218,central_05,8,val_rmse_2d_m,"(256, 128)",0.0,0.0005,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,6,8.60112368636518,7.036369953428702,6.106737032849454,8.537612877114842,21.203387344250284,363,1.0,0.9944903581267218,federated_02,8,val_rmse_2d_m,"(128, 64)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42
MLP,centralized_by_predicted_cluster,val,7,8.347427862368207,6.706520039034047,5.4873177719238795,7.821065349691791,20.682695937714296,363,1.0,0.9862258953168044,central_05,8,val_rmse_2d_m,"(256, 128)",0.0,0.0005,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,7,8.509275121511937,6.719876573379871,5.600040147425343,7.849285063031593,20.15815688188077,363,1.0,0.9862258953168044,federated_02,8,val_rmse_2d_m,"(128, 64)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42
MLP,centralized_by_predicted_cluster,val,8,8.545383832944436,6.6466515777999495,5.636651514494525,8.359966801575897,20.116531733953916,363,0.9972451790633609,0.9669421487603306,central_05,8,val_rmse_2d_m,"(256, 128)",0.0,0.0005,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,8,9.081528555875,6.911334393401238,5.501022866050866,8.845985298139343,21.109660860827255,363,0.9972451790633609,0.9669421487603306,federated_02,8,val_rmse_2d_m,"(128, 64)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42
MLP,centralized_by_predicted_cluster,val,9,8.286219092883293,6.575487524161574,5.735258957089612,7.590317736223455,19.583232046399754,363,0.9972451790633609,0.9449035812672176,central_05,8,val_rmse_2d_m,"(256, 128)",0.0,0.0005,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,9,8.435023171618022,6.596056024491493,5.420675055672124,8.299149560662386,19.753239300497874,363,0.9972451790633609,0.9449035812672176,federated_02,8,val_rmse_2d_m,"(128, 64)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42
MLP,centralized_by_predicted_cluster,val,10,8.747482806011817,6.411299104462047,5.139767485689428,8.33033278052148,19.222692614615887,363,0.9972451790633609,0.768595041322314,central_05,8,val_rmse_2d_m,"(256, 128)",0.0,0.0005,1e-05,128,100,15,40,2,uniform,False,42
MLP,federated_by_predicted_cluster_fedavg,val,10,9.138533070629563,7.452836529226587,6.377746214351288,9.671596565176536,20.859091191706685,363,0.9972451790633609,0.768595041322314,federated_02,8,val_rmse_2d_m,"(128, 64)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42
