model,task,selection_modality,candidate_id,selection_split,selection_metric,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n,hidden_sizes,dropout,learning_rate,weight_decay,batch_size,central_epochs,patience,federated_rounds,local_epochs,client_weighting,force_cpu,seed,selected
MLP,coordinates,centralized_global,central_00,val,rmse_2d_m,8.32979874838177,6.560952964916719,5.14613535954856,8.280456549188136,19.89926350564632,363,"(128, 64)",0.0,0.001,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,centralized_global,central_01,val,rmse_2d_m,8.632261977339837,7.0791808616528344,5.485231101942938,9.688847149951883,17.678599111825385,363,"(128, 64)",0.0,0.0005,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,centralized_global,central_02,val,rmse_2d_m,8.65645783490079,6.94251627131561,5.4161624774600705,8.618181844733945,20.415040927450146,363,"(128, 64)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,centralized_global,central_03,val,rmse_2d_m,8.877994845791633,7.037484143334679,5.518597382799721,8.248568964759075,20.720315666730876,363,"(128, 64)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,centralized_global,central_04,val,rmse_2d_m,8.031121466183986,6.410302744872221,5.326656722135899,7.9753625301741025,20.57483340802685,363,"(256, 128)",0.0,0.001,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,centralized_global,central_05,val,rmse_2d_m,7.79206422720036,6.400165035151973,5.053886538978682,8.32132977846533,16.194970312259517,363,"(256, 128)",0.0,0.0005,1e-05,128,100,15,40,2,uniform,False,42,True
MLP,coordinates,centralized_global,central_06,val,rmse_2d_m,8.359928401295969,6.795463708631797,5.610891132548699,8.309081672868436,20.619225706504196,363,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,centralized_global,central_07,val,rmse_2d_m,8.237709072451818,6.6366443150223855,5.439583609396569,8.286866080009775,19.59656727924043,363,"(256, 128)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,federated_global_fedavg,federated_00,val,rmse_2d_m,16.712813492780636,15.446139189075705,14.604171829772035,18.57203016730113,29.31247632678424,363,"(128, 64)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,federated_global_fedavg,federated_01,val,rmse_2d_m,17.9747974217338,16.66209555548243,17.035189273491973,20.99359803145674,28.620432993835983,363,"(128, 64)",0.1,0.001,1e-05,128,100,15,40,2,samples,False,42,False
MLP,coordinates,federated_global_fedavg,federated_02,val,rmse_2d_m,11.689717394228243,10.055193126645841,8.9319560243473,11.956907276489563,22.63507663074367,363,"(128, 64)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42,True
MLP,coordinates,federated_global_fedavg,federated_03,val,rmse_2d_m,11.707159029839927,10.143798348194156,8.663796735781172,12.232428212330927,22.89557443001782,363,"(128, 64)",0.1,0.0005,1e-05,128,100,15,40,2,samples,False,42,False
MLP,coordinates,federated_global_fedavg,federated_04,val,rmse_2d_m,20.325706669927513,19.105593829273122,19.39825260268191,22.987614351794157,31.46737344053795,363,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,federated_global_fedavg,federated_05,val,rmse_2d_m,21.45449939474009,20.10310360483955,20.316283563763438,25.08794862550587,31.368806168911703,363,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,samples,False,42,False
MLP,coordinates,federated_global_fedavg,federated_06,val,rmse_2d_m,13.665468193504696,12.402189337792754,11.62097258594706,15.326530932499768,23.949533150051128,363,"(256, 128)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,federated_global_fedavg,federated_07,val,rmse_2d_m,14.185230432822895,12.976603593821649,12.552939799627529,16.308510221555558,23.83623125661633,363,"(256, 128)",0.1,0.0005,1e-05,128,100,15,40,2,samples,False,42,False
