model,modality,split,n_clusters,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n,coverage,gate_accuracy_diagnostic,selected_candidate_id,selected_from_n_candidates,selection_metric,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,central_rounds,early_stopping_rounds,federated_cycles,local_boost_rounds,nthread,seed
XGBoost,centralized_by_predicted_cluster,val,2,8.548785282587279,6.954694403112627,5.591710187686067,7.770787071405691,20.33139688638807,363,1.0,0.9972451790633609,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,2,10.99696990021871,9.122282821668751,8.019406106803324,12.028704216672448,21.820203163886763,363,1.0,0.9972451790633609,federated_07,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,centralized_by_predicted_cluster,val,3,7.855081015871296,6.5736966407371344,5.552436634478818,7.50353840172825,16.202047552309576,363,1.0,1.0,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,3,8.784831139185348,7.610110329501557,6.402192798832654,9.181086674297287,17.39722414749749,363,1.0,1.0,federated_07,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,centralized_by_predicted_cluster,val,4,7.725698664598893,6.511101397300521,5.660311394649405,7.360716387335264,16.202047552309576,363,1.0,1.0,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,4,8.728593807007144,7.527305052318701,6.360796300581514,8.999214270583138,16.983320997474337,363,1.0,1.0,federated_07,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,centralized_by_predicted_cluster,val,5,8.250664056068652,6.727762884559487,5.930910425643256,7.911686803363969,19.438535987440343,363,1.0,1.0,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,5,8.574646539171619,7.130245969193223,6.0472459756466,8.539991557315211,17.59768984249954,363,1.0,1.0,federated_07,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,centralized_by_predicted_cluster,val,6,8.198698174730533,6.578523060642839,5.657256808206506,7.946551007127981,19.438535987440343,363,1.0,0.9944903581267218,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,6,8.440353917137138,6.988133946894863,6.092452573283007,8.613776262306121,17.320112701215827,363,1.0,0.9944903581267218,federated_07,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,centralized_by_predicted_cluster,val,7,8.164135315491196,6.54450563991908,5.657256808206506,7.934288054798489,16.815758983420842,363,1.0,0.9862258953168044,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,7,8.254773998025039,6.725491699954483,6.092452573283007,8.70288033182715,17.203631834256797,363,1.0,0.9862258953168044,federated_07,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,centralized_by_predicted_cluster,val,8,8.441157668687358,6.5808621229675985,5.410869546778178,7.5864505976314565,19.57224214142919,363,0.9972451790633609,0.9669421487603306,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,8,8.963376747009992,6.715823020116485,5.35012826573223,8.046291687091445,20.58951052079885,363,0.9972451790633609,0.9669421487603306,federated_07,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,centralized_by_predicted_cluster,val,9,7.73802076402298,6.074564670362624,4.805716585319013,6.369897129611678,16.815758983420842,363,0.9972451790633609,0.9449035812672176,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,9,8.10692292005635,6.228476949730621,4.967845808891311,7.263559160004036,17.203631834256797,363,0.9972451790633609,0.9449035812672176,federated_07,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,centralized_by_predicted_cluster,val,10,9.201914204821241,7.130463192451323,5.2088688154600336,9.026887209164421,18.206603177785155,363,0.9972451790633609,0.768595041322314,central_04,8,val_rmse_2d_m,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,federated_by_predicted_cluster_cyclic_boosting,val,10,9.389045065032978,7.256538267345495,5.119391874707294,9.35283192507993,17.69257781027589,363,0.9972451790633609,0.768595041322314,federated_07,8,val_rmse_2d_m,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
