model,task,selection_modality,candidate_id,selection_split,selection_metric,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,central_rounds,early_stopping_rounds,federated_cycles,local_boost_rounds,nthread,seed,selected
XGBoost,coordinates,centralized_global,central_00,val,rmse_2d_m,8.85162035512009,7.0276581264016516,5.696340958104297,9.021753542629298,17.131740783969697,363,4,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,centralized_global,central_01,val,rmse_2d_m,8.875017155626121,7.0446454115163775,5.682735508352041,8.906205835069134,17.44494187561013,363,4,0.05,0.85,0.8,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,centralized_global,central_02,val,rmse_2d_m,9.056710126542594,7.268038606940074,6.227942461249204,8.759205221162052,17.029017460516457,363,4,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,centralized_global,central_03,val,rmse_2d_m,9.002928019827998,7.0919685125967735,5.464933291747822,8.872158456058862,17.360563405839283,363,4,0.1,0.85,0.8,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,centralized_global,central_04,val,rmse_2d_m,8.1122409681437,6.795153067015621,5.542512089945242,7.80568778298346,17.084812026738483,363,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,True
XGBoost,coordinates,centralized_global,central_05,val,rmse_2d_m,8.395074622697017,6.940378094843025,5.589885806492499,8.237868986210563,17.461294090941593,363,8,0.05,0.85,0.8,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,centralized_global,central_06,val,rmse_2d_m,8.128970881363463,6.708227767371752,5.405166360719013,8.108970243298096,16.5046732570706,363,8,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,centralized_global,central_07,val,rmse_2d_m,8.215069706279419,6.868236194764487,5.656738771933393,7.942434192901015,16.253927841294125,363,8,0.1,0.85,0.8,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_00,val,rmse_2d_m,39.83655927369445,37.75927553098551,36.413965625071675,48.63880300393375,57.629577076329355,363,4,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_01,val,rmse_2d_m,36.608527027505716,35.096464765912415,34.495016617098806,42.24606515015688,50.989718418346506,363,4,0.05,0.85,0.55,2.0,1.0,400,30,12,2,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_02,val,rmse_2d_m,38.22627001958373,36.77685676475553,36.31638371147296,43.840720282363236,53.25847179870468,363,4,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_03,val,rmse_2d_m,36.694012579302736,35.3381455571153,37.43686601967658,41.21943461166822,48.58282577217528,363,4,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_04,val,rmse_2d_m,39.41432874915155,37.34799195669438,35.43155103330009,48.50069799682103,57.66734733857128,363,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_05,val,rmse_2d_m,36.6385227682703,35.21251998950039,35.02112797956476,42.70091224853156,51.85064954057719,363,8,0.05,0.85,0.55,2.0,1.0,400,30,12,2,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_06,val,rmse_2d_m,38.95397373047435,37.235365072381484,36.55559400085668,45.615696268272444,55.24110177337118,363,8,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_07,val,rmse_2d_m,36.32146989252698,34.89520302827383,36.12943133879254,41.21105428531432,48.23733317770235,363,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42,True
