model,task,modality,split,n_clusters,floor_accuracy,n,coverage,gate_accuracy_diagnostic,selected_candidate_id,selected_from_n_candidates,selection_metric,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,central_rounds,early_stopping_rounds,federated_cycles,local_boost_rounds,nthread,seed
XGBoost,floor,centralized_by_predicted_cluster,val,2,0.9944903581267218,363,1.0,0.9972451790633609,central_00,8,val_floor_accuracy,4,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,floor,federated_by_predicted_cluster_cyclic_boosting,val,2,0.9586776859504132,363,1.0,0.9972451790633609,federated_03,8,val_floor_accuracy,4,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,floor,centralized_by_predicted_cluster,val,3,0.9862258953168044,363,1.0,1.0,central_00,8,val_floor_accuracy,4,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,floor,federated_by_predicted_cluster_cyclic_boosting,val,3,0.9146005509641874,363,1.0,1.0,federated_03,8,val_floor_accuracy,4,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,floor,centralized_by_predicted_cluster,val,4,0.9586776859504132,363,1.0,1.0,central_00,8,val_floor_accuracy,4,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,floor,federated_by_predicted_cluster_cyclic_boosting,val,4,0.9256198347107438,363,1.0,1.0,federated_03,8,val_floor_accuracy,4,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,floor,centralized_by_predicted_cluster,val,5,0.9586776859504132,363,1.0,1.0,central_00,8,val_floor_accuracy,4,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,floor,federated_by_predicted_cluster_cyclic_boosting,val,5,0.8842975206611571,363,1.0,1.0,federated_03,8,val_floor_accuracy,4,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,floor,centralized_by_predicted_cluster,val,6,0.9559228650137741,363,1.0,0.9944903581267218,central_00,8,val_floor_accuracy,4,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,floor,federated_by_predicted_cluster_cyclic_boosting,val,6,0.8842975206611571,363,1.0,0.9944903581267218,federated_03,8,val_floor_accuracy,4,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,floor,centralized_by_predicted_cluster,val,7,0.9696969696969697,363,1.0,0.9862258953168044,central_00,8,val_floor_accuracy,4,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,floor,federated_by_predicted_cluster_cyclic_boosting,val,7,0.9421487603305785,363,1.0,0.9862258953168044,federated_03,8,val_floor_accuracy,4,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,floor,centralized_by_predicted_cluster,val,8,0.9889807162534435,363,0.9972451790633609,0.9669421487603306,central_00,8,val_floor_accuracy,4,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,floor,federated_by_predicted_cluster_cyclic_boosting,val,8,0.9586776859504132,363,0.9972451790633609,0.9669421487603306,federated_03,8,val_floor_accuracy,4,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,floor,centralized_by_predicted_cluster,val,9,0.953168044077135,363,0.9972451790633609,0.9449035812672176,central_00,8,val_floor_accuracy,4,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,floor,federated_by_predicted_cluster_cyclic_boosting,val,9,0.9338842975206612,363,0.9972451790633609,0.9449035812672176,federated_03,8,val_floor_accuracy,4,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
XGBoost,floor,centralized_by_predicted_cluster,val,10,0.9476584022038568,363,0.9972451790633609,0.768595041322314,central_00,8,val_floor_accuracy,4,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42
XGBoost,floor,federated_by_predicted_cluster_cyclic_boosting,val,10,0.9338842975206612,363,0.9972451790633609,0.768595041322314,federated_03,8,val_floor_accuracy,4,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42
